Action Date,Action Id,Brand,Event Type,Status,Sale Amount,Action Earnings,Promo Code,SharedId
2025-08-22 17:52:12,M.15608.6443.199954,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,2.8400,SAHS,
2025-08-22 16:31:23,M.15608.6443.127173,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,59.62,10.7300,SAHS15,
2025-08-22 16:17:42,M.15608.6443.107250,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,35.77,6.4400,SAHS15,
2025-08-22 15:18:05,M.15608.6443.76609,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,29.99,5.4000,SAHS,
2025-08-22 15:07:07,M.15608.6443.71176,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,39.46,7.1000,SAHS,
2025-08-22 14:34:00,M.15608.6443.58701,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,34.72,3.4700,SAHS,
2025-08-22 12:54:34,M.15608.6443.19360,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,31.57,5.0500,D39,
2025-08-22 04:47:39,M.15608.6442.1006735,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,61.10,11.0000,SAHS15,
2025-08-22 01:47:49,M.15608.6442.733777,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,39.46,7.1000,SAHS,
2025-08-22 01:41:04,M.15608.6442.728396,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,22.10,2.2100,SAHS,
