Purchase Date (Date),ID,Coupon Code," Grand Total (Base) "
"Sep 3, 2025",1013000038594,AB198,170.1
"Sep 4, 2025",1013000038614,AB173,357.3
"Sep 7, 2025",1014000003263,AB61,458.1
"Sep 7, 2025",1013000038705,AB30,249.3
