created_date,country,order_id,aff_coupon,AED_gross_amount,AED_net_amount
"Sep 22, 2025",KW,MKW30246421,HH30,602.6731999999998,602.6731999999998
"Sep 22, 2025",SA,MSA60364028,DZ48,881.118,881.118
"Sep 22, 2025",SA,MSA60363985,DZ48,174.63600000000002,174.63600000000002
"Sep 22, 2025",SA,MSA60363965,DZ48,401.30999999999995,401.30999999999995
"Sep 22, 2025",KW,MKW30246429,DZ28,1826.64,1826.64
"Sep 22, 2025",SA,MSA60363868,DZ48,1559.376,1559.376
"Sep 22, 2025",SA,MSA60363778,DZ48,889.9380000000001,889.9380000000001
"Sep 22, 2025",SA,MSA60363856,DZ28,1445.598,1445.598
"Sep 22, 2025",SA,MSA60363702,HH30,323.694,323.694
"Sep 22, 2025",SA,MSA60363645,HH30,392.49,392.49
"Sep 22, 2025",SA,MSA60363640,DMP6,881.118,881.118
"Sep 22, 2025",SA,MSA60363742,DMP6,881.118,881.118
"Sep 22, 2025",SA,MSA60363854,DZ48,1876.896,1876.896
"Sep 22, 2025",SA,MSA60363998,DZ48,1046.9340000000002,1046.9340000000002
"Sep 22, 2025",SA,MSA60363773,DZ48,881.118,881.118
"Sep 21, 2025",SA,MSA60363576,HH30,1807.218,1807.218
"Sep 21, 2025",SA,MSA60363680,HH82,298.998,298.998
"Sep 21, 2025",SA,MSA60363613,DZ48,1281.154,1281.154
"Sep 21, 2025",SA,MSA60363552,DZ48,1791.685,1791.685
"Sep 21, 2025",SA,MSA60363685,DZ48,399.84,399.84
"Sep 20, 2025",SA,MSA60363502,DZ48,210.798,210.798
"Sep 20, 2025",SA,MSA60363497,DMP7,298.116,298.116
"Sep 20, 2025",SA,MSA60363387,HH30,1033.802,1033.802
"Sep 20, 2025",SA,MSA60363414,DMP6,881.118,881.118
"Sep 20, 2025",SA,MSA60363492,DZ48,3447.3459999999995,3447.3459999999995
"Sep 20, 2025",SA,MSA60363356,DMP6,1190.357,0
"Sep 20, 2025",SA,MSA60363350,HH30,399.84,399.84
"Sep 19, 2025",SA,MSA60363312,DMP6,334.278,334.278
"Sep 19, 2025",SA,MSA60363290,DMP7,43.218,0
"Sep 19, 2025",SA,MSA60363201,HH30,298.998,298.998
"Sep 19, 2025",SA,MSA60363205,DMP7,873.376,873.376
"Sep 18, 2025",KW,MKW30246158,DMP7,950.9265999999999,950.9265999999999
"Sep 17, 2025",SA,MSA60363097,DMP6,399.00699999999995,399.00699999999995
"Sep 17, 2025",KW,MKW30246133,DMP6,1073.21,1073.21
"Sep 17, 2025",SA,MSA60363107,DZ48,631.414,631.414
"Sep 17, 2025",SA,MSA60363007,DMP7,248.234,248.234
"Sep 16, 2025",SA,MSA60362916,DZ48,582.267,582.267
"Sep 16, 2025",SA,MSA60362937,DMP7,113.778,113.778
"Sep 15, 2025",SA,MSA60362773,DZ48,434.973,434.973
"Sep 14, 2025",SA,MSA60362736,HH30,399.25199999999995,329.57399999999996
"Sep 14, 2025",SA,MSA60362764,DZ48,1692.558,1692.558
"Sep 13, 2025",SA,MSA60362608,HH15,290.717,290.717
"Sep 12, 2025",AE,MAE10253640,HH30,498.25,498.25
"Sep 12, 2025",AE,MAE10253642,DMP6,254.15,254.15
"Sep 11, 2025",SA,MSA60362516,DMP7,200.214,156.996
"Sep 11, 2025",SA,MSA60362513,DZ48,2774.625,2774.625
"Sep 10, 2025",SA,MSA60362354,DZ13,132.447,132.447
"Sep 9, 2025",AE,MAE10253461,DMP6,3157.5000000000005,3157.5000000000005
"Sep 8, 2025",SA,MSA60361974,DZ48,256.172,256.172
"Sep 8, 2025",SA,MSA60362103,DZ48,642.978,642.978
"Sep 8, 2025",SA,MSA60362096,HH15,394.842,394.842
"Sep 8, 2025",SA,MSA60362210,DZ48,2614.787,2614.787
"Sep 8, 2025",AE,MAE10253370,DMP7,321.3,321.3
"Sep 8, 2025",AE,MAE10253348,HH30,337.5,337.5
"Sep 8, 2025",SA,MSA60362083,DZ48,686.196,686.196
"Sep 7, 2025",SA,MSA60362072,DMP7,482.601,482.601
"Sep 7, 2025",SA,MSA60361921,HH15,506.95399999999995,506.95399999999995
"Sep 7, 2025",SA,MSA60361965,DZ48,556.983,556.983
"Sep 7, 2025",SA,MSA60361967,DZ48,457.317,457.317
"Sep 7, 2025",SA,MSA60362067,DZ48,668.556,668.556
"Sep 6, 2025",SA,MSA60362009,DMP7,450.30999999999995,450.30999999999995
"Sep 5, 2025",AE,MAE10253013,DMP7,424.15,424.15
"Sep 5, 2025",SA,MSA60361805,HH30,131.418,131.418
"Sep 4, 2025",SA,MSA60361689,DZ48,271.803,271.803
"Sep 4, 2025",AE,MAE10253030,DMP7,258.9,258.9
"Sep 3, 2025",AE,MAE10252892,HH15,296.65,296.65
"Sep 2, 2025",SA,MSA60361477,DMP6,121.716,121.716
"Sep 2, 2025",KW,MKW30245643,HH108,411.23,411.23
"Sep 2, 2025",SA,MSA60361340,HH15,298.998,298.998
"Sep 2, 2025",SA,MSA60361372,DZ45,166.698,166.698
"Sep 2, 2025",KW,MKW30245636,DMP20,180.54,180.54
"Sep 1, 2025",SA,MSA60361173,DMP7,2027.718,2027.718
"Aug 31, 2025",SA,MSA60361138,DZ48,415.667,415.667
"Aug 30, 2025",SA,MSA60361030,DZ48,210.798,210.798
"Aug 30, 2025",SA,MSA60360943,DZ10,400.13399999999996,400.13399999999996
"Aug 30, 2025",SA,MSA60361054,DZ48,2513.945,2513.945
"Aug 30, 2025",SA,MSA60360928,DZ48,674.73,674.73
"Aug 30, 2025",SA,MSA60360967,DZ48,334.278,334.278
"Aug 29, 2025",SA,MSA60360846,DZ48,137.445,137.445
"Aug 29, 2025",SA,MSA60360865,DMP6,540.617,540.617
"Aug 29, 2025",SA,MSA60360912,DMP6,421.596,421.596
"Aug 29, 2025",SA,MSA60360771,DZ48,359.856,359.856
"Aug 29, 2025",SA,MSA60360766,DZ48,648.074,648.074
"Aug 28, 2025",SA,MSA60360723,DZ48,1977.3949999999998,1977.3949999999998
"Aug 28, 2025",SA,MSA60360780,HH15,298.998,298.998
"Aug 28, 2025",KW,MKW30245413,HH30,130.39,130.39
"Aug 27, 2025",SA,MSA60360416,HH15,274.057,274.057
"Aug 27, 2025",SA,MSA60360648,HH15,174.636,174.636
"Aug 27, 2025",KW,MKW30245256,DMP7,371.11,371.11
