Item,Quantity,Total,Open By,Invoice #,Order #,Date Time,W.S #,Menu Type
Water,1,0.55,Cashier,1,1,05-06-2025 12:25,1,Take Away
Water,1,0.55,Cashier,1,1,05-06-2025 12:25,1,Take Away
French fries Meal,1,1.25,Cashier,1,1,23-06-2025 11:46,1,Take Away
CHICKEN PHILLY 23CM,1,4.75,Cashier,1,1,23-06-2025 11:46,1,Take Away
French fries Meal,1,1.25,Cashier,1,1,09-04-2025 13:57,1,Take Away
HOTDOG HOAGIES,1,3.5,Cashier,1,1,09-04-2025 13:57,1,Take Away
Water,1,0.55,Cashier,1,1,28-05-2025 13:55,1,Take Away
Water,1,0.55,Cashier,1,1,28-05-2025 13:55,1,Take Away
CRISPY CREAM 23CM,1,4.75,Cashier,1,1,23-04-2025 17:21,1,Take Away
Onion Rings,1,1.75,Manager,2,2,30-07-2025 14:16,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,3,3,22-04-2025 18:51,1,Take Away
Onion Rings,1,1.75,Cashier,3,3,22-04-2025 18:51,1,Take Away
Curly Fries Meal,1,1.5,Cashier,3,3,22-04-2025 18:51,1,Take Away
Chicken Nuggets,1,3.5,Cashier,3,3,05-06-2025 14:44,1,Take Away
Matrix Cola,1,0.55,Cashier,4,4,02-07-2025 15:32,1,Take Away
Chicken Nuggets,1,3.5,Cashier,4,4,30-05-2025 15:24,1,Take Away
Chicken Nuggets,1,3.5,Cashier,4,4,30-05-2025 15:24,1,Take Away
MUSHROOMS CHEESESTEAK 26CM,1,5.5,Cashier,4,4,05-04-2025 15:40,1,Take Away
French fries Meal,1,1.25,Cashier,4,4,16-04-2025 15:17,1,Take Away
CRISPY LAVA 18CM,1,4,Cashier,4,4,16-04-2025 15:17,1,Take Away
Hotdog,1,3.5,Cashier,5,5,21-07-2025 15:45,1,Take Away
Hotdog,1,3.5,Cashier,5,5,21-07-2025 15:45,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,5,5,07-07-2025 16:42,1,Take Away
Fire in the Hole (150g),1,4.5,Cashier,5,5,07-07-2025 16:42,1,Take Away
Chicken Salad,1,4.5,Cashier,5,5,07-07-2025 16:42,1,Take Away
Curly Fries Meal,1,1.5,Cashier,5,5,07-07-2025 16:42,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
Wedges Meal,1,1.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
Wedges Meal,1,1.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
Wedges Meal,1,1.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,5,5,12-06-2025 16:27,1,Take Away
Magic Mushroom (150g),1,4.5,Cashier,6,6,05-06-2025 15:31,1,Take Away
French fries Meal,1,1.25,Cashier,6,6,28-06-2025 17:23,1,Take Away
Magic Mushroom (150g),1,4.5,Cashier,6,6,28-06-2025 17:23,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,8,8,05-04-2025 15:55,1,Take Away
French fries Meal,1,1.25,Cashier,8,8,05-04-2025 15:55,1,Take Away
Chicken Strips kids,1,3.5,Cashier,11,11,31-05-2025 18:52,1,Take Away
Chicken Nuggets,1,3.5,Cashier,11,11,10-08-2025 18:18,1,Take Away
French Fries CHIPS,1,1,Cashier,11,11,10-08-2025 18:18,1,Take Away
Chicken Nuggets,1,3.5,Cashier,11,11,10-08-2025 18:18,1,Take Away
MIAMI CHICKEN 23CM,2,9.5,Cashier,11,11,10-08-2025 18:18,1,Take Away
Chicken Nuggets,1,3.5,Cashier,11,11,10-08-2025 18:18,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,3,15.75,Cashier,11,11,10-08-2025 18:18,1,Take Away
French Fries CHIPS,1,1,Cashier,11,11,10-08-2025 18:18,1,Take Away
CHICKEN PHILLY 18CM,1,4,Cashier,11,11,29-05-2025 16:05,1,Take Away
Matrix Cola,1,0.55,Cashier,12,12,08-08-2025 21:06,1,Take Away
Mixed Fries,1,1.75,Cashier,14,14,05-06-2025 20:09,1,Take Away
Cheesy Fest (150g),1,4.5,Cashier,14,14,05-06-2025 20:09,1,Take Away
French fries Meal,1,1.25,Cashier,14,14,02-07-2025 18:27,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,14,14,02-07-2025 18:27,1,Take Away
Filet mignon Steak platter,1,12,Cashier,14,14,06-04-2025 17:23,1,Take Away
Mozzarella Sticks,1,2.25,Cashier,15,15,09-07-2025 17:23,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,15,15,09-07-2025 17:23,1,Take Away
Matrix Cola,1,0.55,Cashier,15,15,09-07-2025 17:23,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,15,15,10-06-2025 16:47,1,Take Away
Curly Fries Meal,1,1.5,Cashier,15,15,10-06-2025 16:47,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,15,15,10-06-2025 16:47,1,Take Away
Water,1,0.55,Cashier,15,15,10-06-2025 16:47,1,Take Away
Water,1,0.55,Cashier,15,15,10-06-2025 16:47,1,Take Away
Wedges Meal,1,1.5,Cashier,15,15,10-06-2025 16:47,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,15,15,08-05-2025 18:09,1,Take Away
MIAMI CHICKEN 18CM,1,4,Cashier,16,16,08-05-2025 18:10,1,Take Away
Curly Fries Meal,1,1.5,Cashier,16,16,02-07-2025 18:31,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,16,16,02-07-2025 18:31,1,Take Away
Chicken Salad,1,4.5,Cashier,16,16,05-04-2025 17:47,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,17,17,16-06-2025 18:07,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,17,17,16-06-2025 18:07,1,Take Away
French fries Meal,1,1.25,Cashier,17,17,16-06-2025 18:07,1,Take Away
Magic Mushroom (150g),1,4.5,Cashier,17,17,16-06-2025 18:07,1,Take Away
French fries Meal,1,1.25,Cashier,17,17,16-06-2025 18:07,1,Take Away
Matrix Cola,1,0.55,Cashier,17,17,16-06-2025 18:07,1,Take Away
Chicken Strips,1,2.5,Cashier,17,17,08-05-2025 18:11,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,17,17,13-06-2025 20:25,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,18,18,13-06-2025 20:27,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,18,18,05-06-2025 20:48,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,18,18,05-06-2025 20:48,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,18,18,05-06-2025 20:48,1,Take Away
French fries Meal,1,1.25,Cashier,18,18,05-06-2025 20:48,1,Take Away
French fries Meal,1,1.25,Cashier,18,18,05-06-2025 20:48,1,Take Away
French fries Meal,1,1.25,Cashier,18,18,05-06-2025 20:48,1,Take Away
PHILLY CHEESESTEAK 23CM,1,5.25,Cashier,18,18,04-06-2025 15:30,1,Take Away
Matrix Sprite,1,0.55,Cashier,18,18,25-08-2025 19:33,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,19,19,05-06-2025 20:49,1,Take Away
French fries Meal,1,1.25,Cashier,19,19,05-06-2025 20:49,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,19,19,05-06-2025 20:49,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,19,19,05-06-2025 20:49,1,Take Away
French fries Meal,1,1.25,Cashier,19,19,05-06-2025 20:49,1,Take Away
French fries Meal,1,1.25,Cashier,19,19,05-06-2025 20:49,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,19,19,07-06-2025 19:16,1,Take Away
French fries Meal,1,1.25,Cashier,19,19,07-06-2025 19:16,1,Take Away
French fries Meal,1,1.25,Cashier,19,19,07-06-2025 19:16,1,Take Away
CHICKEN PHILLY 18CM,1,4,Cashier,19,19,07-06-2025 19:16,1,Take Away
French fries Meal,1,1.25,Cashier,20,20,28-07-2025 18:43,1,Take Away
BARBECU CHEESESTEAK 23CM,1,5.25,Cashier,20,20,28-07-2025 18:43,1,Take Away
French Fries CHIPS,1,1,Cashier,20,20,28-07-2025 18:44,1,Take Away
MIAMI CHICKEN 23CM,1,5,Cashier,24,24,08-04-2025 23:12,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,24,24,08-04-2025 23:12,1,Take Away
CRISPY CREAM 26CM,1,5,Cashier,24,24,08-04-2025 23:12,1,Take Away
Hotdog,1,3.5,Cashier,26,26,23-05-2025 22:41,1,Take Away
Hotdog,1,3.5,Cashier,26,26,23-05-2025 22:41,1,Take Away
CRISPY LAVA 23CM,1,4.75,Manager,29,29,08-07-2025 20:15,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Cashier,29,29,07-06-2025 20:37,1,Take Away
Curly Fries Meal,1,1.5,Cashier,29,29,07-06-2025 20:37,1,Take Away
MIAMI CHICKEN 23CM,1,4.75,Cashier,29,29,07-06-2025 20:37,1,Take Away
French fries Meal,1,1.25,Cashier,29,29,07-06-2025 20:37,1,Take Away
Fire in the Hole (150g),1,4.5,Cashier,29,29,14-07-2025 19:50,1,Take Away
French fries Meal,1,1.25,Cashier,29,29,14-07-2025 19:50,1,Take Away
Fire in the Hole (150g),1,4.5,Cashier,29,29,14-07-2025 19:50,1,Take Away
French fries Meal,1,1.25,Cashier,29,29,14-07-2025 19:50,1,Take Away
Matrix Cola,1,0.55,Cashier,30,30,29-05-2025 20:06,1,Take Away
Curly Fries Meal,1,1.5,Cashier,31,31,20-07-2025 19:08,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,31,31,20-07-2025 19:08,1,Take Away
Steak Salad,1,5.25,Cashier,32,32,04-06-2025 18:17,1,Take Away
French fries Meal,1,1.25,Cashier,32,32,04-06-2025 18:16,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,32,32,04-06-2025 18:16,1,Take Away
MUSHROOMS CHICKEN ALFREDO 18CM,1,4,Cashier,32,32,06-06-2025 22:08,1,Take Away
French fries Meal,1,1.25,Cashier,33,33,13-06-2025 22:55,1,Take Away
MUSHROOMS CHICKEN ALFREDO 18CM,1,4,Cashier,33,33,13-06-2025 22:55,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,34,34,16-08-2025 21:22,1,Take Away
Matrix Cola,1,0.55,Cashier,34,34,16-08-2025 21:22,1,Take Away
Matrix Cola,1,0.55,Cashier,34,34,16-08-2025 21:22,1,Take Away
CRISPY CREAM 18CM,1,4,Cashier,36,36,09-08-2025 22:38,1,Take Away
Curly Fries Meal,1,1.5,Cashier,36,36,09-08-2025 22:38,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Manager,44,44,04-08-2025 21:18,1,Take Away
French fries Meal,1,1.25,Manager,44,44,04-08-2025 21:18,1,Take Away
CLASSIC CHEESESTEAK- 23CM,1,5.25,Manager,44,44,04-08-2025 21:18,1,Take Away
Magic Mushroom (150g),1,4.5,Manager,44,44,04-08-2025 21:18,1,Take Away
French fries Meal,1,1.25,Manager,44,44,04-08-2025 21:18,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,44,44,04-06-2025 19:54,1,Take Away
BARBECU CHEESESTEAK 18CM,1,4.5,Cashier,47,47,23-07-2025 21:40,1,Take Away
French fries Meal,1,1.25,Cashier,47,47,23-07-2025 21:40,1,Take Away
Chicken Nuggets,1,3.5,Cashier,50,50,04-06-2025 21:18,1,Take Away
PHILLY CHEESESTEAK 18CM,1,4.5,Cashier,57,57,14-07-2025 22:58,1,Take Away
French fries Meal,1,1.25,Cashier,57,57,14-07-2025 22:58,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,58,58,26-07-2025 20:13,1,Take Away
Wedges Meal,1,1.5,Cashier,58,58,26-07-2025 20:13,1,Take Away
French fries Meal,1,1.25,Manager,63,63,21-06-2025 19:34,1,Take Away
CRISPY CREAM 23CM,1,4.75,Manager,63,63,21-06-2025 19:34,1,Take Away
French fries Meal,1,1.25,Manager,63,63,21-06-2025 19:34,1,Take Away
CRISPY LAVA 23CM,1,4.75,Manager,63,63,21-06-2025 19:34,1,Take Away
BARBECU CHEESESTEAK 23CM,1,5.25,Manager,63,63,21-06-2025 19:34,1,Take Away
French fries Meal,1,1.25,Manager,63,63,21-06-2025 19:34,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,65,65,22-07-2025 22:14,1,Take Away
MUSHROOMS CHEESESTEAK 23CM,1,5.25,Cashier,65,65,22-07-2025 22:14,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,100000,1,05-04-2025 15:11,1,Take Away
French fries Meal,1,1.25,Cashier,100000,1,05-04-2025 15:11,1,Take Away
Curly Fries Meal,1,1.5,Cashier,100000,1,05-04-2025 15:11,1,Take Away
CRISPY CREAM 26CM,1,5,Cashier,100000,1,05-04-2025 15:11,1,Take Away
Matrix Cola,1,0.65,Cashier,100001,2,05-04-2025 15:24,1,Take Away
Matrix Cola,1,0.65,Cashier,100001,2,05-04-2025 15:24,1,Take Away
Chicken Nuggets,1,3.5,Cashier,100001,2,05-04-2025 15:24,1,Take Away
Chicken Nuggets,1,3.5,Cashier,100001,2,05-04-2025 15:24,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,100002,3,05-04-2025 15:30,1,Take Away
Curly Fries Meal,1,1.5,Cashier,100002,3,05-04-2025 15:30,1,Take Away
Curly Fries Meal,1,1.5,Cashier,100002,3,05-04-2025 15:30,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100002,3,05-04-2025 15:30,1,Take Away
MUSHROOMS CHEESESTEAK 18CM,1,4.5,Cashier,100003,5,05-04-2025 15:41,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100004,6,05-04-2025 15:43,1,Take Away
French fries Meal,1,1.25,Cashier,100004,6,05-04-2025 15:43,1,Take Away
French fries Meal,1,1.25,Cashier,100005,7,05-04-2025 15:50,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100005,7,05-04-2025 15:50,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,100006,9,05-04-2025 15:57,1,Take Away
French fries Meal,1,1.25,Cashier,100006,9,05-04-2025 15:57,1,Take Away
CRISPY LAVA 26CM,1,5,Cashier,100007,10,05-04-2025 16:17,1,Take Away
Matrix Fanta,1,0.65,Cashier,100008,11,05-04-2025 16:19,1,Take Away
Matrix Fanta,1,0.65,Cashier,100008,11,05-04-2025 16:19,1,Take Away
Matrix Fanta,1,0.65,Cashier,100008,11,05-04-2025 16:19,1,Take Away
Steak Salad,1,5.25,Cashier,100009,12,05-04-2025 16:28,1,Take Away
French fries Meal,1,1.25,Cashier,100010,13,05-04-2025 17:19,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100010,13,05-04-2025 17:19,1,Take Away
French fries Meal,1,1.25,Cashier,100011,14,05-04-2025 17:34,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100011,14,05-04-2025 17:34,1,Take Away
French fries Meal,1,1.25,Cashier,100011,14,05-04-2025 17:34,1,Take Away
CHICKEN PHILLY 26CM,1,5,Cashier,100011,14,05-04-2025 17:34,1,Take Away
Chicken Nuggets,1,3.5,Cashier,100012,15,05-04-2025 17:46,1,Take Away
French fries Meal,1,1.25,Cashier,100012,15,05-04-2025 17:46,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100012,15,05-04-2025 17:46,1,Take Away
French fries Meal,1,1.25,Cashier,100012,15,05-04-2025 17:46,1,Take Away
MUSHROOMS CHEESESTEAK 26CM,1,5.5,Cashier,100012,15,05-04-2025 17:46,1,Take Away
French fries Meal,1,1.25,Cashier,100013,17,05-04-2025 19:34,1,Take Away
CRISPY LAVA 26CM,1,5,Cashier,100013,17,05-04-2025 19:34,1,Take Away
Water,1,0.65,Cashier,100014,18,05-04-2025 19:35,1,Take Away
Water,1,0.65,Cashier,100015,19,05-04-2025 20:02,1,Take Away
CHICKEN PHILLY 26CM,1,5,Cashier,100016,20,05-04-2025 20:29,1,Take Away
French fries Meal,1,1.25,Cashier,100016,20,05-04-2025 20:29,1,Take Away
MUSHROOMS CHICKEN ALFREDO 26CM,1,5,Cashier,100017,21,05-04-2025 20:30,1,Take Away
French fries Meal,1,1.25,Cashier,100017,21,05-04-2025 20:30,1,Take Away
Magic Mushroom (150g),1,4.5,Cashier,100018,22,05-04-2025 20:57,1,Take Away
MUSHROOMS CHEESESTEAK 26CM,1,5.5,Cashier,100019,23,05-04-2025 21:01,1,Take Away
French fries Meal,1,1.25,Cashier,100019,23,05-04-2025 21:01,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100019,23,05-04-2025 21:01,1,Take Away
French fries Meal,1,1.25,Cashier,100019,23,05-04-2025 21:01,1,Take Away
French Fries CHIPS,1,1,Cashier,100020,24,05-04-2025 21:04,1,Take Away
Mixed Fries,1,1.75,Cashier,100021,25,05-04-2025 21:06,1,Take Away
Matrix Cola,1,0.65,Cashier,100022,26,05-04-2025 21:21,1,Take Away
CRISPY CREAM 26CM,1,5,Cashier,100022,26,05-04-2025 21:21,1,Take Away
Matrix Cola,1,0.65,Cashier,100023,27,05-04-2025 21:29,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100024,28,05-04-2025 22:19,1,Take Away
French fries Meal,1,1.25,Cashier,100024,28,05-04-2025 22:19,1,Take Away
French fries Meal,1,1.25,Cashier,100025,29,05-04-2025 22:22,1,Take Away
French fries Meal,1,1.25,Cashier,100025,29,05-04-2025 22:22,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,100025,29,05-04-2025 22:22,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100025,29,05-04-2025 22:22,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100026,1,06-04-2025 11:58,1,Take Away
HOTDOG HOAGIES,1,3.75,Cashier,100026,1,06-04-2025 11:58,1,Take Away
HOTDOG HOAGIES,1,3.75,Cashier,100026,1,06-04-2025 11:58,1,Take Away
Water,1,0.65,Cashier,100026,1,06-04-2025 11:58,1,Take Away
French fries Meal,1,1.25,Cashier,100027,2,06-04-2025 13:52,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100027,2,06-04-2025 13:52,1,Take Away
Magic Mushroom (150g),1,4.5,Cashier,100028,3,06-04-2025 15:19,1,Take Away
Chicken Strips kids,1,3.5,Cashier,100028,3,06-04-2025 15:19,1,Take Away
French fries Meal,1,1.25,Cashier,100028,3,06-04-2025 15:19,1,Take Away
French fries Meal,1,1.25,Cashier,100029,4,06-04-2025 15:23,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,100029,4,06-04-2025 15:23,1,Take Away
French fries Meal,1,1.25,Cashier,100030,5,06-04-2025 15:25,1,Take Away
CHICKEN PHILLY 18CM,1,4,Cashier,100030,5,06-04-2025 15:25,1,Take Away
French fries Meal,1,1.25,Cashier,100031,6,06-04-2025 15:28,1,Take Away
Curly Fries,1,1.5,Cashier,100031,6,06-04-2025 15:28,1,Take Away
Cheesy Fest (150g),1,4,Cashier,100031,6,06-04-2025 15:28,1,Take Away
Curly Fries,1,1.5,Cashier,100031,6,06-04-2025 15:28,1,Take Away
Mixed Fries,1,1.75,Cashier,100032,7,06-04-2025 15:45,1,Take Away
French fries Meal,1,1.25,Cashier,100033,8,06-04-2025 16:03,1,Take Away
French fries Meal,1,1.25,Cashier,100033,8,06-04-2025 16:03,1,Take Away
French fries Meal,1,1.25,Cashier,100033,8,06-04-2025 16:03,1,Take Away
French fries Meal,1,1.25,Cashier,100033,8,06-04-2025 16:03,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100033,8,06-04-2025 16:03,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100033,8,06-04-2025 16:03,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100033,8,06-04-2025 16:03,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100033,8,06-04-2025 16:03,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100034,9,06-04-2025 16:22,1,Take Away
French fries Meal,1,1.25,Cashier,100034,9,06-04-2025 16:22,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100035,10,06-04-2025 16:38,1,Take Away
CRISPY CREAM 26CM,1,5,Cashier,100035,10,06-04-2025 16:38,1,Take Away
French fries Meal,1,1.25,Cashier,100035,10,06-04-2025 16:38,1,Take Away
French fries Meal,1,1.25,Cashier,100035,10,06-04-2025 16:38,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100036,11,06-04-2025 16:40,1,Take Away
French fries Meal,1,1.25,Cashier,100036,11,06-04-2025 16:40,1,Take Away
Matrix Cola,1,0.65,Cashier,100037,12,06-04-2025 16:56,1,Take Away
Matrix Cola,1,0.65,Cashier,100037,12,06-04-2025 16:56,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100037,12,06-04-2025 16:56,1,Take Away
French fries Meal,1,1.25,Cashier,100037,12,06-04-2025 16:56,1,Take Away
Water,1,0.65,Cashier,100038,13,06-04-2025 17:13,1,Take Away
Matrix Cola,1,0.65,Cashier,100039,15,06-04-2025 18:22,1,Take Away
French fries Meal,1,1.25,Cashier,100040,16,06-04-2025 18:39,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100040,16,06-04-2025 18:39,1,Take Away
Magic Mushroom (150g),1,4.5,Cashier,100041,17,06-04-2025 19:06,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100042,18,06-04-2025 20:44,1,Take Away
French fries Meal,1,1.25,Cashier,100042,18,06-04-2025 20:44,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100043,1,07-04-2025 13:31,1,Take Away
French fries Meal,1,1.25,Cashier,100043,1,07-04-2025 13:31,1,Take Away
Curly Fries Meal,1,1.5,Cashier,100044,2,07-04-2025 14:18,1,Take Away
Hoagies Burger (150g),1,4.5,Cashier,100044,2,07-04-2025 14:18,1,Take Away
Chicken Salad,1,4.5,Cashier,100045,3,07-04-2025 17:15,1,Take Away
Matrix Cola,1,0.65,Cashier,100046,4,07-04-2025 18:33,1,Take Away
MUSHROOMS CHICKEN ALFREDO 26CM,1,5,Cashier,100046,4,07-04-2025 18:33,1,Take Away
French fries Meal,1,1.25,Cashier,100046,4,07-04-2025 18:33,1,Take Away
Curly Fries,1,1.5,Cashier,100047,5,07-04-2025 18:43,1,Take Away
Cheese Whiz,1,0.25,Cashier,100047,5,07-04-2025 18:43,1,Take Away
Water,1,0.65,Cashier,100048,6,07-04-2025 18:44,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100049,7,07-04-2025 18:46,1,Take Away
CRISPY CREAM 26CM,1,5,Cashier,100049,7,07-04-2025 18:46,1,Take Away
French fries Meal,1,1.25,Cashier,100049,7,07-04-2025 18:46,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100050,8,07-04-2025 18:50,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100051,9,07-04-2025 20:37,1,Take Away
French fries Meal,1,1.25,Cashier,100051,9,07-04-2025 20:37,1,Take Away
SHAWERMA STEAK 26CM,1,5.5,Cashier,100051,9,07-04-2025 20:37,1,Take Away
French fries Meal,1,1.25,Cashier,100052,10,07-04-2025 20:37,1,Take Away
SHAWERMA STEAK 26CM,1,5.5,Cashier,100052,10,07-04-2025 20:37,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100053,11,07-04-2025 20:40,1,Take Away
Matrix Cola,1,0.65,Cashier,100054,12,07-04-2025 20:55,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100055,13,07-04-2025 21:14,1,Take Away
French fries Meal,1,1.25,Cashier,100056,14,07-04-2025 21:45,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100056,14,07-04-2025 21:45,1,Take Away
French fries Meal,1,1.25,Manager,100057,15,07-04-2025 22:00,1,Take Away
CRISPY LAVA 26CM,1,5,Manager,100057,15,07-04-2025 22:00,1,Take Away
CHICKEN PHILLY 26CM,1,5,Cashier,100058,1,08-04-2025 13:34,1,Take Away
French fries Meal,1,1.25,Cashier,100058,1,08-04-2025 13:34,1,Take Away
Matrix Cola,1,0.65,Cashier,100058,1,08-04-2025 13:34,1,Take Away
French Fries CHIPS,1,1,Cashier,100058,1,08-04-2025 13:34,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100059,2,08-04-2025 13:55,1,Take Away
French fries Meal,1,1.25,Cashier,100059,2,08-04-2025 13:55,1,Take Away
French fries Meal,1,1.25,Cashier,100060,3,08-04-2025 14:05,1,Take Away
MUSHROOMS CHEESESTEAK 26CM,1,5.5,Cashier,100060,3,08-04-2025 14:05,1,Take Away
French fries Meal,1,1.25,Cashier,100060,3,08-04-2025 14:05,1,Take Away
CHICKEN PHILLY 26CM,1,5,Cashier,100060,3,08-04-2025 14:05,1,Take Away
CLASSIC CHEESESTEAK- 18CM,1,4.5,Cashier,100061,4,08-04-2025 15:26,1,Take Away
French fries Meal,1,1.25,Cashier,100061,4,08-04-2025 15:26,1,Take Away
Matrix Cola,1,0.65,Cashier,100062,5,08-04-2025 15:38,1,Take Away
Water,1,0.65,Cashier,100062,5,08-04-2025 15:38,1,Take Away
Water,1,0.65,Cashier,100062,5,08-04-2025 15:38,1,Take Away
Curly Fries Meal,1,1.5,Cashier,100063,6,08-04-2025 15:44,1,Take Away
French fries Meal,1,1.25,Cashier,100063,6,08-04-2025 15:44,1,Take Away
MUSHROOMS CHEESESTEAK 26CM,1,5.5,Cashier,100063,6,08-04-2025 15:44,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100063,6,08-04-2025 15:44,1,Take Away
Onion Rings,1,2,Cashier,100064,7,08-04-2025 15:54,1,Take Away
French fries Meal,1,1.25,Cashier,100064,7,08-04-2025 15:54,1,Take Away
MUSHROOMS CHEESESTEAK 26CM,1,5.5,Cashier,100064,7,08-04-2025 15:54,1,Take Away
Chicken Nuggets,1,3.5,Cashier,100065,8,08-04-2025 16:07,1,Take Away
Water,1,0.65,Cashier,100065,8,08-04-2025 16:07,1,Take Away
French fries Meal,1,1.25,Cashier,100066,9,08-04-2025 16:08,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100066,9,08-04-2025 16:08,1,Take Away
French fries Meal,1,1.25,Cashier,100066,9,08-04-2025 16:08,1,Take Away
CLASSIC CHEESESTEAK- 26CM,1,5.5,Cashier,100066,9,08-04-2025 16:08,1,Take Away
MUSHROOMS CHICKEN ALFREDO 18CM,1,4,Cashier,100067,10,08-04-2025 16:20,1,Take Away
French fries Meal,1,1.25,Cashier,100068,11,08-04-2025 16:22,1,Take Away
