id,offer name,code,payout,revenue,sale amount,expected ratio revenue,expected ratio sale,expected payout fixed,match method,matched or not
2345,Namshi,ha,6.470000000000001,7.19,287.59,0.9,0.022468793342579754,1.96,revenue,matched
14590,Namshi,jry,3.45,3.83,153.14000000000001,0.9003881541115584,0.022521802458018318,1.725,revenue,matched
6947,Namshi,ksy,47.33,59.64,2240.78,0.7809715962687349,0.01952104206219112,2.325,"mixed (revenue, sale)",matched
8482,Namshi,m1010,9.44,12.110000000000001,484.28,0.7795698924731183,0.019483461712732218,1.29,revenue,matched
6658,Namshi,mr1,22.89,27.310000000000002,1001.36,0.8496240601503758,0.021213651778627607,2.6,"mixed (fixed, revenue, sale)",matched
5389,Namshi,mzz,99.51,117.32,3923.2,0.8955223880597014,0.02249308871575773,2.0,"mixed (fixed, revenue, sale)",not matched
12391,Namshi,nms270,0.96,1.24,49.4,0.7741935483870968,0.019433198380566803,0.96,revenue,matched
1,Namshi,nmx59,0.0,11.84,473.28,0.0,0.0,0.0,revenue,matched
10368,Namshi,rdf10,2.4000000000000004,3.09,123.36,0.7766661049793581,0.019453245389542205,1.2000000000000002,revenue,matched
10861,Namshi,rdf6,230.33,287.86,9158.48,0.8196078431372549,0.020496374790853318,2.63,"mixed (revenue, sale)",not matched
6675,Namshi,s66,664.58,737.88,23200.46,0.901098901098901,0.022520364159080018,2.19,revenue,matched
14807,Namshi,sho1,136.98,175.66,5000.91,0.7795918367346938,0.01950162513542795,3.02,revenue,matched
2345,Namshi,snn,4.09,4.54,181.57999999999998,0.9010869565217391,0.022524386360240463,2.045,revenue,matched
14621,Namshi,ssa,0.51,0.65,26.17,0.7794117647058824,0.019486307091821538,1.65,revenue,matched
8486,Namshi,ssa,48.690000000000005,62.45,2312.1,0.7794117647058824,0.019486307091821538,1.65,revenue,matched
6675,Namshi,sz30,32.0,35.53,1308.58,0.8999999999999999,0.02250088252386092,1.69,revenue,matched
6675,Namshi,sz5,15.739999999999998,17.48,699.17,0.900672048632897,0.022508801700008966,1.395,revenue,matched
14593,Namshi,sz9,49.03,61.800000000000004,2069.44,0.7803468208092487,0.019482010412356657,1.74,"mixed (revenue, sale)",not matched
14727,Namshi,urpay1,13.46,17.240000000000002,559.4300000000001,0.7805907172995781,0.01952787047336547,3.16,"mixed (revenue, sale)",matched
663,Namshi,vyd,1.36,1.66,66.49,0.819277108433735,0.020454203639645063,1.36,revenue,matched
6722,Namshi,waffarx1,1.04,1.34,53.41,0.7761194029850746,0.019472008987081072,1.04,revenue,matched
1,Namshi,wala,0.0,7.33,293.2,0.0,0.0,0.0,revenue,matched
14638,Namshi,yaz,22.34,28.37,1134.39,0.7798561151079136,0.019497805597525,1.8,"mixed (revenue, sale)",matched
7142,Namshi,yww5,5.37,6.88,275.03999999999996,0.7802072016141549,0.019512425484572292,0.9400000000000001,revenue,matched
6675,Namshi,zag,2.63,2.92,116.96,0.9006849315068493,0.022486320109439125,2.63,revenue,matched
6947,Namshi,zag23,44.46,52.660000000000004,1594.04,0.7837652543534896,0.0209964453875418,2.0700000000000003,"mixed (revenue, sale)",not matched
