" ",Offer Name,Partner ID,Date,Code,Geo,Payout,Revenue,Sale Amount
1923601,Waya,7010,"Jul 29, 2025",wy88,ksa,3.38,5.21,40.04
1986223,Waya,7010,"Jul 29, 2025",wy88,ksa,3.383,5.21,40.04
1923599,Waya,6706,"Jul 28, 2025",wy83,ksa,8.86,11.5,88.5
1923600,Waya,7031,"Jul 28, 2025",wy28,ksa,3.92,6.04,46.44
1909603,Waya,7010,"Jul 23, 2025",wy88,ksa,7.48,11.5,88.5
1909602,Waya,14465,"Jul 22, 2025",bf47,ksa,5.97,6.63,50.99
1898877,Waya,7010,"Jul 20, 2025",wy88,ksa,4.106,6.32,48.59
1898876,Waya,5458,"Jul 19, 2025",wy35,ksa,3.95,6.08,46.75
1898875,Waya,6947,"Jul 19, 2025",bf15,ksa,4.106,6.32,48.59
1888913,Waya,10141,"Jul 15, 2025",wy57,ksa,3.745,5.76,44.32
1888912,Waya,7010,"Jul 14, 2025",wy88,ksa,3.59,5.52,42.48
1887034,Waya,2345,"Jul 10, 2025",bf5,ksa,10.33157,11.48,88.3
1887035,Waya,7010,"Jul 10, 2025",wy88,ksa,3.59,5.52,42.48
1877031,Waya,6675,"Jul 9, 2025",wy2,ksa,12.062,14.19,109.16
1877030,Waya,6706,"Jul 9, 2025",wy83,ksa,4.436,5.76,44.32
1877029,Waya,10856,"Jul 8, 2025",wy59,ksa,3.59,5.52,42.48
1877028,Waya,2345,"Jul 8, 2025",bf6,ksa,5.41694,6.02,46.3
1877027,Waya,7010,"Jul 6, 2025",wy88,ksa,3.59,5.52,42.48
1868052,Waya,7137,"Jul 5, 2025",bf11,ksa,3.912,6.02,46.3
1868051,Waya,1,"Jul 4, 2025",bf10,ksa,0,6.02,46.3
1868050,Waya,14440,"Jul 4, 2025",bf9,ksa,3.59,5.52,42.48
1868048,Waya,7747,"Jul 3, 2025",bf7,ksa,9.997,15.38,118.3
1868049,Waya,14659,"Jul 3, 2025",bf8,ksa,4.068,6.26,48.14
1868047,Waya,2345,"Jul 2, 2025",bf6,ksa,5.41694,6.02,46.3
1868046,Waya,2345,"Jul 1, 2025",bf5,ksa,5.41694,6.02,46.3
