" ",Offer Name,Partner ID,Date,Code,Geo,Payout,Revenue,Sale Amount
2035774,Rasees,189,"Aug 31, 2025",rs92,ksa,0.84,0.93,7.18
2035773,Rasees,1,"Aug 31, 2025",rs20,ksa,0,1.06,8.15
2035775,Rasees,6669,"Aug 31, 2025",tt135,ksa,0.626,0.96,7.41
2035772,Rasees,189,"Aug 31, 2025",rs92,ksa,1.217,1.35,10.4
2031829,Rasees,189,"Aug 30, 2025",rs92,ksa,10.298,11.44,88.01
2031825,Rasees,6669,"Aug 30, 2025",tt38,ksa,5.16,7.94,61.07
2031824,Rasees,12277,"Aug 30, 2025",rs15,ksa,2.635,4.05,31.19
2031831,Rasees,189,"Aug 30, 2025",rs92,ksa,10.011,11.12,85.56
2031828,Rasees,6727,"Aug 30, 2025",tt35,ksa,2.865,4.41,33.91
2031830,Rasees,6669,"Aug 30, 2025",tt136,ksa,14.627,22.5,173.1
2031827,Rasees,6669,"Aug 30, 2025",tt135,ksa,3.788,5.83,44.82
2031826,Rasees,6729,"Aug 30, 2025",tt87,ksa,7.668,9.96,76.61
2031818,Rasees,6669,"Aug 29, 2025",tt38,ksa,10.005,15.39,118.4
2031823,Rasees,2345,"Aug 29, 2025",tt3,ksa,3.68,4.09,31.45
2031822,Rasees,6729,"Aug 29, 2025",tt87,ksa,5.71,7.42,57.04
2031819,Rasees,189,"Aug 29, 2025",rs92,ksa,11.577,12.86,98.95
2031820,Rasees,189,"Aug 29, 2025",rs92,ksa,8.676,9.64,74.15
2031817,Rasees,6829,"Aug 29, 2025",tt17,ksa,2.635,4.05,31.19
2031821,Rasees,189,"Aug 29, 2025",rs92,ksa,11.229,12.48,95.98
2031808,Rasees,6669,"Aug 28, 2025",tt135,ksa,4.82,7.42,57.04
2031811,Rasees,6727,"Aug 28, 2025",tt35,ksa,3.767,5.8,44.58
2031810,Rasees,3607,"Aug 28, 2025",bf90,ksa,5.157,5.83,44.82
2031816,Rasees,6669,"Aug 28, 2025",tt135,ksa,3.81,5.86,45.09
2031812,Rasees,189,"Aug 28, 2025",rs92,ksa,14.711,16.35,125.74
2031813,Rasees,6727,"Aug 28, 2025",tt35,ksa,5.006,7.7,59.25
2031814,Rasees,10393,"Aug 28, 2025",rs95,ksa,4.82,7.42,57.04
2031815,Rasees,6675,"Aug 28, 2025",bf4,ksa,8.241,9.16,70.43
2031809,Rasees,3607,"Aug 28, 2025",bf90,ksa,11.042,12.48,95.98
2031804,Rasees,6669,"Aug 27, 2025",tt135,ksa,14.439,22.21,170.87
2031807,Rasees,6669,"Aug 27, 2025",tt137,ksa,6.266,9.64,74.15
2031805,Rasees,3607,"Aug 27, 2025",bf90,ksa,12.668,14.31,110.11
2031806,Rasees,189,"Aug 27, 2025",rs92,ksa,6.674,7.42,57.04
2031803,Rasees,3607,"Aug 27, 2025",bf90,ksa,6.534,7.38,56.79
2031800,Rasees,189,"Aug 26, 2025",rs92,ksa,7.892,8.77,67.46
2031801,Rasees,3607,"Aug 26, 2025",bf90,ksa,12.668,14.31,110.11
2031799,Rasees,6669,"Aug 26, 2025",tt135,ksa,4.82,7.42,57.04
2031802,Rasees,189,"Aug 26, 2025",rs92,ksa,11.577,12.86,98.95
2031794,Rasees,6669,"Aug 25, 2025",tt135,ksa,2.865,4.41,33.91
2031798,Rasees,6669,"Aug 25, 2025",tt135,ksa,2.635,4.05,31.19
2031795,Rasees,7010,"Aug 25, 2025",tt89,ksa,4.82,7.42,57.04
