Order Date,customer_flag,Order Id,Coupon,country,Order Value (AED),Payout (AED)
"Aug 31, 2025",Existing Orders,3011219811,R199,KSA,318.5,31.85
"Aug 31, 2025",Existing Orders,3011219617,R199,KSA,129.9676,12.996760000000002
"Aug 31, 2025",New Orders,3011222189,Z45,KSA,121.9904,12.19904
"Aug 28, 2025",Existing Orders,3011203991,R199,KSA,251.0172,25.10172
"Aug 6, 2025",New Orders,12000025661,R188,KWT,495.09796,49.509796
"Aug 8, 2025",Existing Orders,3011105203,ZF,KSA,669.291,66.9291
"Aug 3, 2025",Existing Orders,3011078415,R188,KSA,153.5464,15.354640000000002
"Aug 18, 2025",Existing Orders,3011159505,R199,KSA,23.128,2.3128
"Aug 18, 2025",Existing Orders,3011158379,R199,KSA,245.8918,24.58918
"Aug 18, 2025",Existing Orders,3011155027,R199,KSA,534.8742,53.48742
"Aug 19, 2025",New Orders,13000054809,Z45,KWT,340.02864,34.002864
"Aug 19, 2025",Existing Orders,3011163999,ZF,KSA,159.9458,15.99458
"Aug 19, 2025",New Orders,3011160883,R199,KSA,112.2198,11.221980000000002
"Aug 19, 2025",Existing Orders,3011165041,R199,KSA,100.646,10.0646
"Aug 3, 2025",Existing Orders,3011082505,R188,KSA,102.1062,10.21062
"Aug 3, 2025",Existing Orders,3011082679,R188,KSA,255.6624,25.56624
"Aug 3, 2025",Existing Orders,3011079659,ZF,KSA,153.517,15.351700000000001
"Aug 3, 2025",New Orders,000904487,ZF,KSA,165.8356,16.583560000000002
"Aug 3, 2025",Existing Orders,3011078897,NZ,KSA,22.344,2.2344000000000004
"Aug 8, 2025",Existing Orders,3011106833,R199,KSA,236.8464,23.68464
"Aug 8, 2025",Existing Orders,3011108735,ZF,KSA,136.171,13.6171
"Aug 10, 2025",Existing Orders,3011118803,ZF,KSA,349.321,34.932100000000005
"Aug 10, 2025",Existing Orders,3011118131,Z40,KSA,106.4378,null
"Aug 15, 2025",Existing Orders,3011143829,R199,KSA,192.0016,19.20016
"Aug 15, 2025",Existing Orders,3011143799,R199,KSA,85.7206,8.57206
"Aug 15, 2025",Existing Orders,3011141785,Z45,KSA,174.4204,17.442040000000002
"Aug 15, 2025",Existing Orders,000908939,Z45,KSA,51.695,5.1695
"Aug 30, 2025",Existing Orders,3011215549,Z47,KSA,119.2954,11.929540000000001
"Aug 23, 2025",Existing Orders,3011182401,RY,KSA,102.8412,10.284120000000001
"Aug 23, 2025",Existing Orders,3011182385,ZF,KSA,114.905,11.4905
"Aug 23, 2025",Existing Orders,3011179627,R13,KSA,51.7636,5.17636
"Aug 23, 2025",Existing Orders,3011182617,RY,KSA,30.037,3.0037000000000003
"Aug 17, 2025",Existing Orders,3011154963,R199,KSA,159.6224,15.962240000000001
"Aug 17, 2025",Existing Orders,3011153615,Z47,KSA,182.1134,18.211340000000003
"Aug 17, 2025",Existing Orders,3011150665,Z50,KSA,132.741,13.274100000000002
"Aug 17, 2025",Existing Orders,000909689,Z50,KSA,144.942,14.494200000000001
"Aug 22, 2025",Existing Orders,3011175219,R199,KSA,212.2092,21.220920000000003
"Aug 22, 2025",Existing Orders,3011175657,ZF,KSA,140.581,14.0581
"Aug 22, 2025",Existing Orders,3011178109,R199,KSA,94.276,9.4276
"Aug 22, 2025",Existing Orders,3011176823,Z45,KSA,99.4602,9.94602
"Aug 4, 2025",Existing Orders,3011086907,R199,KSA,197.4896,19.74896
"Aug 4, 2025",Existing Orders,3011084957,R199,KSA,178.654,17.8654
"Aug 4, 2025",Existing Orders,3011088187,Z47,KSA,46.942,4.6942
"Aug 6, 2025",Existing Orders,000905957,R199,KSA,21.5306,2.15306
"Aug 6, 2025",Existing Orders,3011096767,Z47,KSA,413.8148,41.38148
"Aug 6, 2025",Existing Orders,3011100197,ZF,KSA,312.0712,31.20712
"Aug 9, 2025",Existing Orders,000906801,R199,KSA,134.2208,13.422080000000001
"Aug 9, 2025",Existing Orders,3011111139,Z40,KSA,70.1582,null
"Aug 20, 2025",Existing Orders,3011168455,NZ,KSA,145.0792,14.507919999999999
"Aug 20, 2025",New Orders,21000012629,Z45,BAH,225.4,22.540000000000003
"Aug 16, 2025",Existing Orders,3011146015,Z47,KSA,157.7212,15.772120000000001
"Aug 2, 2025",Existing Orders,3011072607,NZ,KSA,109.1916,10.91916
"Aug 2, 2025",Existing Orders,3011072417,R199,KSA,96.236,9.623600000000001
"Aug 2, 2025",Existing Orders,3011073745,R199,KSA,461.433,46.1433
"Aug 2, 2025",Existing Orders,3011073689,ZF,KSA,58.359,5.8359000000000005
"Aug 2, 2025",New Orders,3011072811,ZF,KSA,413.2464,41.32464
"Aug 14, 2025",Existing Orders,3011140321,R199,KSA,117.11,11.711
"Aug 14, 2025",Existing Orders,3011137305,Z45,KSA,140.8358,14.083580000000001
"Aug 25, 2025",Existing Orders,3011191943,R188,KSA,136.0534,13.605340000000002
"Aug 25, 2025",Existing Orders,3011192639,R199,KSA,192.815,19.2815
"Aug 25, 2025",Existing Orders,3011189453,ZF,KSA,81.928,8.1928
"Aug 11, 2025",Existing Orders,3011119523,Z40,KSA,156.3394,null
"Aug 19, 2025",Existing Orders,3011162209,R199,KSA,88.837,8.883700000000001
"Aug 7, 2025",Existing Orders,000906237,R199,KSA,78.2432,7.82432
"Aug 7, 2025",Existing Orders,3011103637,ZF,KSA,91.973,9.1973
"Aug 7, 2025",Existing Orders,000906161,ZF,KSA,156.2806,15.62806
