Purchase Date (Date),ID,Coupon Code," Grand Total (Base) "
"Aug 10, 2025",1013000037846,AB173,267.3
"Aug 17, 2025",1013000038040,AB61,213.3
"Aug 19, 2025",1013000038108,AB61,65
"Aug 27, 2025",1014000003231,AB173,374.4
"Aug 28, 2025",1013000038398,AB60,756.9
"Aug 30, 2025",1013000038479,AB60,465.3
"Aug 31, 2025",1013000038523,AB30,152.1
