Date,Store,order_no,user_tag,coupon_code,final_status,net_sales
"Sep 1, 2025",KSA,SA02346205,New,dd15,On Hold/In Transit,694.53
"Sep 1, 2025",Kuwait,KW01339427,Repeat,DGG29,On Hold/In Transit,1777.29
"Sep 1, 2025",KSA,SA02346084,Repeat,DGG43,On Hold/In Transit,403.43
"Sep 1, 2025",KSA,SA02346365,Repeat,DGG17,On Hold/In Transit,434.1
"Sep 1, 2025",KSA,SA02346542,Repeat,dd4,On Hold/In Transit,1474.26
