Purchase Date (Date),ID,Coupon Code," Grand Total (Base) "
"Aug 8, 2025",1013000037824,AB60,339.3
"Aug 10, 2025",1013000037846,AB173,267.3
"Aug 17, 2025",1013000038040,AB61,213.3
"Aug 19, 2025",1013000038108,AB61,65
