0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 Mushrooms Cheesesteak [1 Large],1 Mushrooms Cheesesteak [1 Large],1 The Single Smashed Cheese Burger (75 G) [1 Sweet BBQ,1 Drink with Fries ],1 Onion Rings,,,,,,,,,,,,,,
1 Mozzarella Sticks,1 Philly Cheese Steak [1 Regular ],,,,,,,,,,,,,,,,,
1 Combo 1  [1 Mushroom Steak,1 BBQ Steak,1 Matrix Sprite,1 Matrix Sprite],,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Chipotle Mayo,1 Sweet BBQ,,,,,,,,,,,,,,,,
1 Miami Chicken [1 Regular ],1 Curly Fries,1 Onion Rings,,,,,,,,,,,,,,,,
1 Fire In The Hole (150g) [1 Cheese Whiz],1 Magic Mushrooms (150g) [1 Chipotle Mayo],1 Hoagies Fried Platter,2 Matrix Cola  250 Ml,,,,,,,,,,,,,,,
2 Cheesy Fest (150g) [1 Cheese Whiz,1 Drink with Curly Fries],1 Mozzarella Sticks,1 Jumbo Hot Dog. [1 Buffalo Sauce,1 Cheese Whiz,1 Ketchup,1 American Mustrad,1 Dill Pickles,1 White onions,1 Drink with Potato Wedges ],1 Homemade Nuggets  [1 Honey Mustard],,,,,,,,
1 Philly Cheesesteak [1 Regular],1 Cheesy Fries,,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Chipotle Mayo],1 Hoagies Fried Platter,1 Hoagies Burger  (150g),,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Chicken Salad,1 Chicken Strips [1 Chipotle Mayo],,,,,,,,,,,,,,,,
1 Miami Chicken [1 Regular ],1 Chicken Salad,1 Curly Fries,1 Chicken Breast Platter  [1 Coleslaw,1 French Fries ],1 Hot Dog [1 Cheese Whiz,1 Ketchup,1 American Mustrad,1 Dill Pickles,1 Crushed potato Chips,1 Drink with Curly Fries],1 Jumbo Hot Dog. [1 Buffalo Sauce,1 Shredded Cheedar,1 Ketchup,1 American Mustrad,1 Pickled Jalapeños,1 Dill Pickles,1 Drink with Fries ],
1 Magic Mushrooms (150g) [1 Chipotle Mayo],1 Loaded Fries,1 Magic Mushrooms (150g) [1 Cheese Whiz],,,,,,,,,,,,,,,,
2 Philly Cheese Steak [1 Large],1 Philly Cheesesteak [1 Large],1 Classic Cheese Steak [1 Large],1 Mushrooms Cheesesteak [1 Large],,,,,,,,,,,,,,,
1 Jumbo Hot Dog. [1 Honey Mustard,1 Shredded Cheedar,1 Ketchup,1 Mayonnaise,1 Pickled Jalapeños,1 Diced Tomatoes,1 Drink with Fries ],1 Potato Wedges,,,,,,,,,,,
1 Mac and Cheese,1 Classic Cheese Steak [1 Large],1 Philly Cheese Steak [1 Large],1 Mushrooms Cheesesteak [1 Large],1 BBQ Cheesesteak [1 Large],1 Miami Chicken [1 Large],1 Crispy Lava  [1 Large ],1 Crispy Cream [1 Large],1 Chicken Philly  [1 Large],1 Hoagies Fried Platter,3 Magic Mushrooms (150g) [1 Sweet BBQ,1 Drink with Fries ],2 Hot Dog [1 Shredded Cheedar,1 Mayonnaise,1 Honey Mustard,1 Carmalized Onions,1 Diced Tomatoes ],1 Chicken Salad,2 Homemade Nuggets  [1 Sweet BBQ]
1 Philly Cheese Steak [1 Regular ],1 Mushroom Chicken Alfredo [1 Regular ],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mac and Cheese,1 Hotdog fries platter,1 Classic Cheese Steak [1 Large],1 Philly Cheesesteak [1 Large],,,,,,,,,,,,,,
1 Combo 1  [1 Crispy Lava Chicken,1 Mushroom Steak,1 Matrix Cola,1 Matrix Cola],,,,,,,,,,,,,,,
1 Cheesy Fest (150g) [1 Cheese Whiz,1 Drink with Fries ],,,,,,,,,,,,,,,,,
3 Hoagies Fried Platter,3 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Combo 1  [1 Philly Steak,1 Chicken Mushroom,1 Matrix Cola,1 Matrix Cola],1 Chicken Salad,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],1 Mushroom Chicken Alfredo [1 Large],1 Mac and Cheese,2 Matrix Sprite,1 Cheesy Fries,1 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,
1 Classic Cheese Steak [1 Regular],1 Cheesy Fest (150g) [1 Honey Mustard],1 Hot Dog [1 Mozarella,1 Chipotle Mayo (Spicy),1 American Mustrad,1 Pickled Jalapeños,1 Crushed potato Chips],1 Loaded Fries,1 Hoagies Fried Platter,,,,,,,,,,
1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,,
1 Hoagies Burger  (150g) [1 Drink with Fries ],1 Philly Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 Potato Wedges,,,,,,,,,,,,,,,,,
1 Combo 1  [1 Philly Steak,1 Chicken Mushroom,1 Matrix Cola,1 Matrix Cola],,,,,,,,,,,,,,,
1 Combo 1  [1 Mushroom Chicken,1 BBQ Steak,1 Matrix Sprite,1 Matrix Cola],,,,,,,,,,,,,,,
1 Crispy Cream [1 Regular ],1 Cheesy Fries,1 Mac and Cheese,1 Matrix Sprite,,,,,,,,,,,,,,,
1 Hoagies Burger  (150g) [1 Drink with Curly Fries],1 Cheeseburger,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mixed Fries,1 Mac and Cheese,,,,,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Buffalo Sauce,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Onion Rings,,,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Large],1 Philly Cheesesteak [1 Regular],1 Crispy Lava  [1 Regular ],,,,,,,,,,,,,,,,
1 Combo 1  [1 Mushroom Steak,1 Classic Steak,1 Matrix Cola,1 Matrix Sprite],,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Regular],1 Hoagies Fried Platter,1 Matrix Fanta,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Chicken Strips [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Combo 2 [1 Philly Steak,1 Crispy Cream Chicken,1 Nuggets,1 Sweet BBQ,1 Matrix Sprite,1 Matrix Sprite],,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 Chicken Philly  [1 Regular],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],,,,,,,,,,,,,,,,
2 Philly Cheesesteak [1 Large],2 Classic Cheese Steak [1 Large],1 Hoagies Fried Platter,1 Chicken Philly  [1 Regular ],1 Hotdog fries platter,,,,,,,,,,,,,,
1 Combo 4 [1 Classic Steak,1 Classic Steak,1 Classic Steak,1 Classic Steak,1 Strips,1 Matrix Cola,1 Matrix Sprite,1 Matrix Fanta,1 Matrix Sprite],1 Hoagies Burger  (150g) [1 Drink with Fries ],,,,,,,,,
1 Mozzarella Sticks,1 Chicken Strips [1 Honey Mustard],1 Curly Fries,1 Matrix Sprite,1 Honey Mustard,,,,,,,,,,,,,,
1 Miami Chicken [1 Regular ],1 Crispy Cream [1 Regular ],,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],1 Mozzarella Sticks,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],1 Mozzarella Sticks,1 Cheese Whiz,,,,,,,,,,,,,,,,
1 Crispy Lava  [1 Large],1 Miami Chicken [1 Regular ],,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Regular],1 Crispy Cream [1 Regular ],,,,,,,,,,,,,,,,,
1 Hoagies Burger  (150g) [1 Drink with Fries ],1 Crispy Lava  [1 Large],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Crispy Cream [1 Large],1 Honey Mustard,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Regular],3 Cheese Whiz,,,,,,,,,,,,,,,,,
1 Combo 2 [1 Classic Steak,1 Mushroom Steak,1 Nuggets,1 Chipotle Mayo,1 Matrix Cola,1 Matrix Sprite],,,,,,,,,,,,,
1 Combo 1  [1 Mushroom Steak,1 Philly Steak,1 Matrix Cola,1 Matrix Cola],,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Chicken Strips [1 Honey Mustard],1 Mac and Cheese,,,,,,,,,,,,,,,,
1 Combo 1  [1 Philly Steak,1 Cheesy Fajita Chicken,1 Matrix Fanta,1 Matrix Sprite],,,,,,,,,,,,,,,
1 Chicken Strips [1 Cheese Whiz],1 Hoagies Burger  (150g) [1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Regular],1 Mozzarella Sticks,,,,,,,,,,,,,,,,,
1 Miami Chicken [1 Large],1 Hoagies Fried Platter,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 Potato Wedges,,,,,,,,,,,,,,,,,
1 Miami Chicken [1 Regular],1 The Single Smashed Cheese Burger (75 G) [1 Buffalo Sauce],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Regular ],1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Chicken Salad,1 Mushrooms Cheesesteak [1 Large],,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Regular ],1 Onion Rings,,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Mushrooms Cheesesteak [1 Large],,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak [1 Large],1 Philly Cheesesteak [1 Large],1 Classic Cheese Steak [1 Large],1 Mushrooms Cheesesteak [1 Large],1 Mozzarella Sticks,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Hoagies Fried Platter,1 Mac and Cheese,,,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Chicken Philly  [1 Large],1 Mixed Fries,,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Large],1 Miami Chicken [1 Large],1 Crispy Cream [1 Large],1 Philly Cheese Steak [1 Large],,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mushrooms Cheesesteak [1 Large],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,,
1 Combo 1  [1 Cheesy Fajita Chicken,1 Cheesy Fajita Chicken,1 Matrix Cola,1 Matrix Cola],,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Combo 3 [1 Crispy Lava Chicken,1 Cheesy Fajita Chicken,1 Steak Sweet BBQ,1 Philly Steak,1 Matrix Cola,1 Matrix Cola,1 Matrix Fanta,1 Matrix Fanta],,,,,,,,,,
1 Mac and Cheese,1 Mushrooms Cheesesteak [1 Large],,,,,,,,,,,,,,,,,
1 Crispy Cream [1 Large],1 Mushroom Chicken Alfredo [1 Large],1 Mushrooms Cheesesteak [1 Large],2 Mushrooms Cheesesteak [1 Regular ],1 Miami Chicken [1 Large],1 Philly Cheese Steak [1 Large],1 The Single Smashed Cheese Burger (75 G) [1 Honey Mustard,1 Drink with Fries ],1 Jumbo Hot Dog. [1 Honey Mustard,1 Cheese Whiz,1 Ketchup,1 Mayonnaise,1 Diced Tomatoes,1 Crushed potato Chips],1 Crispy Lava  [1 Large],1 Chicken Philly  [1 Large],,,
1 Magic Mushrooms (150g) [1 Chipotle Mayo,1 Drink with Curly Fries],,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Regular],1 The Single Smashed Cheese Burger (75 G) [1 Sweet BBQ],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Chicken Strips [1 Cheese Whiz],2 Philly Cheesesteak [1 Large],2 Mushrooms Cheesesteak [1 Large],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],1 The Single Smashed Cheese Burger (75 G) [1 Chipotle Mayo],1 Cheesy Fest (150g) [1 Cheese Whiz],1 Hoagies Burger  (150g),2 French Fries,,,,,,,,,,
1 Chicken Philly  [1 Large],1 French Fries,,,,,,,,,,,,,,,,,
1 French Fries,1 Chicken Philly  [1 Large],,,,,,,,,,,,,,,,,
1 Crispy Lava  [1 Large ],,,,,,,,,,,,,,,,,,
1 El Classico (23 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,,,,
1 Chicken Wings [1 12 Wings],1 Da Philly (23 Cm) [1 Honey Mustard,1 Mozarella Sticks],,,,,,,,,,,,,,,,
1 Mac and Cheese,1 El Classico (23 Cm) [1 Cheese Whiz],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Sweet BBQ (23 cm) [1 Sweet BBQ],,,,,,,,,,,,,,,,,
1 El Classico (23 Cm) [1 Sweet BBQ,1  Matrix Cola  250 Ml,1 French Fries ],1 Chicken Salad,,,,,,,,,,,,,,,
1 El Classico (18 Cm) [1 Sweet BBQ,1 Onion Rings,1 French Fries ],1 Smashed Double Burger (150g) [1 Buffalo Sauce,1 French Fries ],1 Mozzarella Sticks,1 Mac and Cheese,1 Mushrooms (18 Cm) [1 Buffalo Sauce],1 Chicken Salad,,,,,,,,,,
1 Matrix Sprite,1 Hoagies Fried Platter,1 Mac and Cheese,1 Da Philly (18 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,
1 Mushrooms (18 Cm) [1 Cheese Whiz,1  Matrix Cola  250 Ml,1 French Fries ],,,,,,,,,,,,,,,,
1 Hotdog fries platter,1 El Classico (23 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Chicken Salad,1 Hoagies Fried Platter,1 Da Philly (23 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,
1 Crispy Lava. (26 Cm ) [1 Buffalo Sauce],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Chipotle Mayo,1 Philly Cheesesteak (18 Cm) [1 Cheese Whiz,1 Drink with Fries ],,,,,,,,,,,,,,,,
1 Buffalo Sauce,1 Combo 4 [1 Mushroom Steak,1 Cheesy Fajita Chicken,1 Crispy Cream Chicken,1 Philly Steak,1 Nuggets,1 Matrix Sprite,1 Matrix Sprite,1 Matrix Sprite,1 Matrix Sprite],,,,,,,,,
1 Hotdog fries platter,1 Mac and Cheese,1 BBQ Cheesesteak (23 cm) [1 Cheese Whiz],1 Cheesy Fajita (26 Cm)     [1 Cheese Whiz],,,,,,,,,,,,,,,
1 Philly Cheesesteak (18 Cm) [1 Cheese Whiz,1 Drink with Fries ],1 Philly Cheesesteak  (23 Cm) [1 Cheese Whiz,1 Drink with Fries ],,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Hoagies Burger  (150g),1 Mushrooms Cheesesteak (23 Cm) [1 Honey Mustard],,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ],,,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ],1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 BBQ Cheesesteak (23 cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Hoagies Fried Platter,1 Steak Salad,,,,,,,,,,,,,,,,
1 Chipotle Mayo,1 Philly Cheesesteak  (23 Cm) [1 Honey Mustard,1 Drink with Curly Fries],,,,,,,,,,,,,,,,
2 Mac and Cheese,1 Classic Cheesesteak 18 cm  [1 Honey Mustard],,,,,,,,,,,,,,,,,
2 Classic Cheesesteak 18 cm  [1 Sweet BBQ],1 BBQ Cheesesteak ( 18 Cm ) [1 Sweet BBQ],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Combo 1  [1 Philly Steak,1 Classic Steak,1 Matrix Sprite,1 Matrix Sprite],1 Philly Cheesesteak  (23 Cm) [1 Honey Mustard],,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (23 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,,,
2 BBQ Cheesesteak (23 cm) [1 Sweet BBQ],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 Loaded Fries,1 BBQ Cheesesteak (23 cm) [1 Buffalo Sauce],,,,,,,,,,,,,,,,,
2 Mushrooms Cheesesteak (18 Cm) [1 Honey Mustard],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Cheese Whiz],1 Chicken Salad,,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ],1 Hoagies Fried Platter,1 Honey Mustard,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ],,,,,,,,,,,,,,,,,
2 BBQ Cheesesteak (23 cm) [1 Honey Mustard],,,,,,,,,,,,,,,,,,
2 BBQ Cheesesteak ( 18 Cm ) [1 Sweet BBQ],2 Classic Cheesesteak 18 cm  [1 Cheese Whiz],,,,,,,,,,,,,,,,,
1 Combo 4 [1 Classic Steak,1 Chicken Mushroom,1 Philly Steak,1 Cheesy Fajita Chicken,1 Strips,1 Matrix Cola,1 Matrix Sprite,1 Matrix Cola,1 Matrix Sprite],1 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],,,,,,,,,
1 Hoagies Fried Platter,1 Mozzarella Sticks,1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ],1 Matrix Sprite,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mushrooms Chicken alfredo  (23 Cm) [1 Buffalo Sauce],,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 18 cm  [1 Honey Mustard,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 The Single Smashed Cheese Burger (75 G) [1 Sweet BBQ],1 Mozzarella Sticks,1 Chipotle Mayo,1 Crispy Lava. (23 Cm ) [1 Buffalo Sauce,1 Drink with Curly Fries],1 Chicken Strips,1 Hoagies Fried Platter,,,,,,,,,,,,
1 Mushrooms Cheesesteak (23 Cm) [1 Cheese Whiz],1 Chipotle Mayo,1 Hoagies Fried Platter,,,,,,,,,,,,,,,,
1 Chipotle Mayo,1 Classic Cheesesteak 23 cm  [1 Honey Mustard],1 Classic Cheesesteak 18 cm  [1 Honey Mustard],,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ,1 Drink with Potato Wedges ],,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Homemade Nuggets  [1 Honey Mustard],2 Classic Cheesesteak 18 cm  [1 Honey Mustard],2 Shawerma Steak  18cm [1 Sweet BBQ],1 Crispy Cream (18 Cm) [1 Sweet BBQ],1 French Fries,,,,,,,,,,,,,,
1 Steak Salad,,,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Sweet BBQ],1 Cheesy Fries,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Mac and Cheese,1 Classic Cheesesteak 23 cm  [1 Cheese Whiz,1 Drink with Curly Fries],1 Cookies,1 Cheesy Fest (150g) [1 Cheese Whiz],,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Cheese Whiz,1 Drink with Curly Fries],,,,,,,,,,,,,,,,,
1 Crispy Cream (23 Cm) [1 Cheese Whiz],1 Loaded Fries,,,,,,,,,,,,,,,,,
1 Philly Cheesesteak  (23 Cm) [1 Cheese Whiz,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Cheese Whiz,,,,,,,,,,,,,,,,,
1 Hotdog fries platter,1 Loaded Fries,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Classic Cheesesteak 23 cm  [1 Cheese Whiz],1 Chicken Philly 23 cm,1 French Fries,,,,,,,,,,,,,,,
2 Jumbo Hot Dog. [1 Cheese Whiz,1  Matrix Cola  250 Ml,1  Matrix Orange 250 Ml,1 Onion Rings,1 Mozarella Sticks,1 French Fries ],1 Cheesy Fest (150g) [1 Cheese Whiz,1 Drink with Curly Fries],1 Jumbo Hot Dog. [1 Cheese Whiz],,,,,,,,,,
1 Mac and Cheese,1 Crispy Lava. (23 Cm ) [1 Buffalo Sauce,1 Drink with Fries ],1 Mushrooms Chicken alfredo  (23 Cm) [1 Buffalo Sauce,1 Drink with Fries ],1 Philly Cheesesteak  (23 Cm) [1 Cheese Whiz,1 Drink with Fries ],,,,,,,,,,,,
2 Philly Cheesesteak  (23 Cm) [1 Cheese Whiz],1 French Fries,,,,,,,,,,,,,,,,,
1 Chipotle Mayo,1 Classic Cheesesteak 23 cm  [1 Honey Mustard,1 Drink with Curly Fries],,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (23 Cm) [1 Cheese Whiz,1 Drink with Fries ],1 Chicken Strips [1 Honey Mustard],,,,,,,,,,,,,,,,
2 Philly Cheesesteak  (23 Cm) [1 Cheese Whiz,1 Drink with Curly Fries],,,,,,,,,,,,,,,,,
1 Philly Cheesesteak  (23 Cm) [1 Buffalo Sauce],1 Mac and Cheese,1 Cheesy Fries,,,,,,,,,,,,,,,,
1 Philly Cheesesteak  (23 Cm) [1 Cheese Whiz],1 Loaded Fries,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Homemade Nuggets  [1 Cheese Whiz],1 Philly Cheesesteak  (23 Cm) [1 Cheese Whiz],,,,,,,,,,,,,,,,
1 Philly Cheesesteak (18 Cm) [1 Buffalo Sauce],1 Loaded Fries,1 Matrix Sprite,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Philly Cheesesteak  (23 Cm) [1 Sweet BBQ],,,,,,,,,,,,,,,,,
1 Mushrooms Chicken alfredo  (18 Cm) [1 Drink with Fries ],1 Mac and Cheese,1 Chipotle Mayo,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Honey Mustard],1 Steak Salad,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (18 Cm) [1 Honey Mustard],1 Loaded Fries,,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 18 cm  [1 Cheese Whiz,1 Matrix Cola],1 Cheesy Fries,,,,,,,,,,,,,,,,
1 French Fries,1 Mac and Cheese,,,,,,,,,,,,,,,,,
1 Mushrooms Cheesesteak (23 Cm) [1 Sweet BBQ,1 Drink with Curly Fries],,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Sweet BBQ],1 French Fries,,,,,,,,,,,,,,,,,
1 BBQ Cheesesteak (23 cm) [1 Sweet BBQ],1 Matrix Sprite,1 Hoagies Fried Platter,,,,,,,,,,,,,,,,
1 Crispy Cream (18 Cm) [1 Sweet BBQ],1 Philly Cheesesteak (18 Cm) [1 Cheese Whiz],1 Hot Dog,1 Philly Cheesesteak (18 Cm) [1 Cheese Whiz],1 Potato Wedges,2 Curly Fries,1 Mozzarella Sticks,1 Hot Dog,1 Mac and Cheese,1 Mushrooms Cheesesteak (18 Cm) [1 Cheese Whiz],,,,,,,,,
1 Miami Chicken 23 cm [1 Drink with Fries ],,,,,,,,,,,,,,,,,,
1 Classic Cheesesteak 18 cm  [1 Sweet BBQ,1 Matrix Cola],1 Classic Cheesesteak 23 cm  [1 Chipotle Mayo,1 Drink with Fries ],1 Hoagies Fried Platter,1 Classic Cheesesteak 23 cm  [1 Sweet BBQ,1 Drink with Fries ],,,,,,,,,,,,
1 Classic Cheesesteak 23 cm  [1 Buffalo Sauce,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Philly Cheesesteak  (23 Cm) [1 Cheese Whiz,1 Drink with Curly Fries],,,,,,,,,,,,,,,,,
1 Smashed Double Burger (150g) [1 Buffalo Sauce],1 Fire In The Hole (150g) [1 Buffalo Sauce],1 Hoagies Fried Platter,,,,,,,,,,,,,,,,
1 Hot Dog [1 Cream Cheese,1 Ketchup,1 Mayonnaise,1 Drink with Curly Fries],1 Philly Cheese Steak [1 Large],1 Mushrooms Chicken Steak Alfredo [1 Regular ],1 Classic Cheese Steak [1 Regular],1 Chicken Philly  [1 Regular ],,,,,,,,,,,
2 Mushrooms Cheese steak [1 Large],1 Sweet BBQ,1 Chipotle Mayo,1 Buffalo Sauce,1 Hoagies Fried Platter,1 Chicken Strips [1 Honey Mustard],,,,,,,,,,,,,
1 Magic Mushrooms (150g) [1 Honey Mustard,1 Drink with Curly Fries],1 Philly Cheese Steak [1 Large],,,,,,,,,,,,,,,,
1 Crispy Cream [1 Regular ],1 Hotdog fries platter,,,,,,,,,,,,,,,,,
1 Mushrooms Chicken Steak Alfredo [1 Large],1 Mac and Cheese,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,,
2 Smashed Double Burger (150g) [1 Honey Mustard,1 Drink with Fries ],,,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Regular ],1 Philly Cheesesteak [1 Regular],,,,,,,,,,,,,,,,,
1 Mac and Cheese,1 Hoagies Fried Platter,1 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Regular ],1 Mac and Cheese,1 Cheese Whiz,,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Large],1 Classic Cheese Steak [1 Large],1 Mozzarella Sticks,1 Mac and Cheese,1 Crispy Cream [1 Large],,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 Chicken Philly  [1 Regular ],2 The Single Smashed Cheese Burger (75 G) [1 Cheese Whiz],1 Hot Dog [1 Shredded Cheedar,1 American Mustrad,1 Honey Mustard,1 Dill Pickles,1 Crushed potato Chips],,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Large],1 Cheesy Fries,,,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Large],1 Mozzarella Sticks,,,,,,,,,,,,,,,,,
1 Chipotle Mayo,1 Mushrooms Cheesesteak [1 Large],1 French Fries,1 Matrix Cola  250 Ml,,,,,,,,,,,,,,,
1 Chicken Salad,1 Mac and Cheese,1 Chipotle Mayo,,,,,,,,,,,,,,,,
1 Philly Cheesesteak [1 Large],1 Mushrooms Cheesesteak [1 Regular ],,,,,,,,,,,,,,,,,
1 Sweet BBQ,1 Mushrooms Cheesesteak [1 Large],1 Hoagies Fried Platter,1 Sweet BBQ,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Large],1 Mushroom Chicken Alfredo [1 Large],1 Matrix Cola  250 Ml,1 Drinking water,2 French Fries,,,,,,,,,,,,,,
2 Matrix Cola  250 Ml,2 Classic Cheese Steak [1 Regular],,,,,,,,,,,,,,,,,
1 Philly Cheese Steak [1 Large],1 Onion Rings,1 Homemade Nuggets  [1 Sweet BBQ],,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Philly Cheesesteak [1 Large],,,,,,,,,,,,,,,,,
1 Combo 1  [1 Philly Steak,1 Philly Steak,1 Matrix Sprite,1 Matrix Sprite],,,,,,,,,,,,,,,
1 Classic Cheese Steak [1 Large],1 The Single Smashed Cheese Burger (75 G) [1 Sweet BBQ],1 Onion Rings,,,,,,,,,,,,,,,,
4 French Fries,,,,,,,,,,,,,,,,,,
1 Hoagies Fried Platter,1 Philly Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
1 Mushroom Chicken Alfredo [1 Regular ],1 Mushroom Chicken Alfredo [1 Regular ],1 Crispy Cream [1 Regular ],1 Curly Fries,,,,,,,,,,,,,,,
1 Combo 1  [1 Crispy Cream Chicken,1 Chicken Mushroom,1 Matrix Cola,1 Matrix Fanta],,,,,,,,,,,,,,,
1 Crispy Cream [1 Large],1 Classic Cheese Steak [1 Large],,,,,,,,,,,,,,,,,
