Order Id,Order Status,Item ID,Item ID,Order Date,Geo,Customer Type,Coupon Code,Quanity,Unit Price,Sale Amount,category_id,category_name,commission_rate,Payout,Currency
3575578,Shipped,10736418,"Ocean Stack Bowl 5Inch (12.5Cm) , Clear ,P00624, 6",2025-08-23T18:20:28,UAE,OLD,ZZ3,1,19,19,45022,Serving Trays & Platters,3.0,0.57,AED
3575578,Shipped,10501034,"Deerma Labor-Saving Lightweight Water Spray Mop , ",2025-08-23T18:20:28,UAE,OLD,ZZ3,3,39,117,45025,Vacuum and Cleaning Appliances,3.0,3.51,AED
3575578,Shipped,10742780,Kenwood Food Processor 1000W Multi-Functional with,2025-08-23T18:20:28,UAE,OLD,ZZ3,1,349,349,45018,Small appliances,3.0,10.47,AED
3575578,Shipped,10730964,Treo By Milton Borosilicate Vector Tumbler 300 Ml ,2025-08-23T18:20:28,UAE,OLD,ZZ3,1,19,19,45020,Glassware & Drinkware,3.0,0.57,AED
3575578,Shipped,10783647,Philips Satinelle Essential Corded compact epilato,2025-08-23T18:20:28,UAE,OLD,ZZ3,2,79,158,25008,Shaving & Hair Removal Appliances,3.0,4.74,AED
3575578,Shipped,10731456,"PHILIPS 650W with plastic bar, promix, white, 3-pi",2025-08-23T18:20:28,UAE,OLD,ZZ3,2,79,158,45007,Food Preparation,3.0,4.74,AED
3575578,Shipped,10697239,"PHILIPS PowerPro Compact black: 1800W, 330W suctio",2025-08-23T18:20:28,UAE,OLD,ZZ3,1,279,279,45025,Vacuum and Cleaning Appliances,3.0,8.37,AED
3575577,Shipped,10650087,360 Degree Floor Black Spin Mop Bucket Set Spinnin,2025-08-23T18:20:27,UAE,OLD,ZZ3,2,25,50,45006,Floorcare Accessories,3.0,1.5,AED
3575577,Shipped,10693687,Opalina Juice Tumbler 6 Pieces -  Clear/Grey,2025-08-23T18:20:27,UAE,OLD,ZZ3,1,45,45,45001,Bakeware,3.0,1.35,AED
3575577,Shipped,10729920,"Ocean Madison Bordeaux Glass, Set Of 6, Clear, 600",2025-08-23T18:20:27,UAE,OLD,ZZ3,1,55,55,45020,Glassware & Drinkware,3.0,1.65,AED
3575576,Packed,10699845,Efolia Oud De Arabia (U) EDP 100ML,2025-08-23T18:20:27,UAE,OLD,ZZ3,1,49,49,27001,Unisex Fragrance,2.5,1.23,AED
3575575,Packed,10691692,"English Blazer Original Gift Set, EDT 100ml, Body ",2025-08-23T18:20:27,UAE,OLD,ZZ3,1,21,21,27002,Men Fragrance,2.5,0.52,AED
3575513,Shipped,10507371,Apple iPhone 13 Pro 128GB - Sierra Blue,2025-08-23T15:56:54,UAE,NEW,ZZ3,1,1479,1479,17004,Mobiles,2.0,29.58,AED
3575411,Delivered,10795330,"Apple Watch Ultra (GPS + Cellular, 49mm) Smart wat",2025-08-23T11:19:36,UAE,NEW,ZZ100,1,1599,1599,12019,Smartwatches,2.0,31.98,AED
