"Period","Coupon Code","Number of Uses","Sales Total Amount (USD)","Delivered Orders","Delivered Orders Revenue (USD)","Delivered First Orders","Delivered First Orders Revenue (USD)","Delivered Retention Orders","Delivered Retention Orders Revenue (USD)"
"10 Oct 2025","fxn","2","224.38","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","df14","1","48.18","0","0.00","0","0.00","0","0.00"
"10 Oct 2025","tnmw","1","97.16","0","0.00","0","0.00","0","0.00"
