Purchase Date (Date),ID,Coupon Code," Grand Total (Base) "
"Aug 27, 2025",1014000003231,AB173,374.4
"Aug 28, 2025",1013000038398,AB60,756.9
"Aug 30, 2025",1013000038479,AB60,465.3
"Aug 31, 2025",1013000038523,AB30,152.1
"Sep 3, 2025",1013000038594,AB198,170.1
"Sep 4, 2025",1013000038614,AB173,357.3
"Sep 7, 2025",1014000003263,AB61,458.1
"Sep 7, 2025",1013000038705,AB30,249.3
