Transation ID,offer_id,datetime,status,revenue,sale_amount,affiliate_info1,geo
2077990,1341,9/1/2025,pending,4.7915,68.45,DD4,ksa
2077991,1341,9/1/2025,pending,4.7915,68.45,DD4,ksa
2077992,1341,9/1/2025,pending,4.8433,69.19,DD7,ksa
2077993,1341,9/1/2025,pending,4.8426,69.18,DD7,ksa
2077994,1341,9/1/2025,pending,4.8426,69.18,DD7,ksa
2077995,1341,9/1/2025,pending,4.8426,69.18,DD7,ksa
2077996,1341,9/1/2025,pending,4.8426,69.18,DD7,ksa
2077997,1341,9/1/2025,pending,5.6133,80.19,DD7,uae
2077998,1341,9/1/2025,pending,1.4645,29.29,DI14,ksa
2077999,1341,9/1/2025,pending,4.0095,80.19,DI16,uae
2078000,1341,9/1/2025,pending,6.8025,136.05,DI44,ksa
2078001,1341,9/1/2025,pending,4.0095,80.19,DI44,uae
2078002,1341,9/1/2025,pending,2.1155,42.31,DI44,uae
2078003,1341,9/1/2025,pending,6.062,121.24,DI44,uae
2078004,1341,9/1/2025,pending,4.1365,82.73,DI44,qtr
2078005,1341,9/1/2025,pending,3.459,69.18,DI5,ksa
2078006,1341,9/1/2025,pending,4.0095,80.19,DI77,uae
2078007,1341,9/1/2025,pending,1.4645,29.29,TT33,ksa
2078008,1341,9/1/2025,pending,4.162,83.24,TT33,ksa
2078009,1341,9/2/2025,pending,4.8426,69.18,DD10,ksa
2078010,1341,9/2/2025,pending,4.8426,69.18,DD20,ksa
2078011,1341,9/2/2025,pending,4.8426,69.18,DD20,ksa
2078012,1341,9/2/2025,pending,4.4142,63.06,DD20,ksa
2078013,1341,9/2/2025,pending,4.7915,68.45,DD4,ksa
2078014,1341,9/2/2025,pending,4.7915,68.45,DD5,ksa
2078015,1341,9/2/2025,pending,4.7915,68.45,DD5,ksa
2078016,1341,9/2/2025,pending,4.7915,68.45,DD5,ksa
2078017,1341,9/2/2025,pending,4.7915,68.45,DD5,ksa
2078018,1341,9/2/2025,pending,5.5559,79.37,DD5,uae
2078019,1341,9/2/2025,pending,4.8426,69.18,DD7,ksa
2078020,1341,9/2/2025,pending,3.2564,46.52,DD7,ksa
2078021,1341,9/2/2025,pending,4.8426,69.18,DD7,ksa
2078022,1341,9/2/2025,pending,4.8426,69.18,DD7,ksa
2078023,1341,9/2/2025,pending,4.8426,69.18,DD7,ksa
2078024,1341,9/2/2025,pending,4.8426,69.18,DD7,ksa
2078025,1341,9/2/2025,pending,4.8426,69.18,DD7,ksa
2078026,1341,9/2/2025,pending,4.8426,69.18,DD7,ksa
2078027,1341,9/2/2025,pending,4.8426,69.18,DD7,ksa
2078028,1341,9/2/2025,pending,5.6133,80.19,DD7,uae
2078029,1341,9/2/2025,pending,5.9682,85.26,DD7,uae
2078030,1341,9/2/2025,pending,11.6711,166.73,DD7,qtr
2078031,1341,9/2/2025,pending,5.7911,82.73,DD7,qtr
2078032,1341,9/2/2025,pending,5.7911,82.73,DD7,qtr
2078033,1341,9/2/2025,pending,3.459,69.18,DI13,ksa
2078034,1341,9/2/2025,pending,3.2665,65.33,DI13,ksa
2078035,1341,9/2/2025,pending,3.459,69.18,DI13,ksa
2078036,1341,9/2/2025,pending,3.459,69.18,DI44,ksa
2078037,1341,9/2/2025,pending,3.459,69.18,DI44,ksa
2078038,1341,9/2/2025,pending,4.0095,80.19,DI44,uae
2078039,1341,9/2/2025,pending,4.263,85.26,DI44,uae
2078040,1341,9/2/2025,pending,4.1365,82.73,DI44,qtr
2078041,1341,9/2/2025,pending,3.459,69.18,DI48,ksa
2078042,1341,9/2/2025,pending,3.4595,69.19,DI48,ksa
2078043,1341,9/2/2025,pending,4.0095,80.19,DI5,uae
2078044,1341,9/2/2025,pending,4.0095,80.19,DI5,uae
2078045,1341,9/3/2025,pending,5.6133,80.19,DD10,uae
2078046,1341,9/3/2025,pending,5.6133,80.19,DD10,uae
2078047,1341,9/3/2025,pending,5.6133,80.19,DD10,uae
2078048,1341,9/3/2025,pending,10.9522,156.46,DD10,uae
2078049,1341,9/3/2025,pending,4.8426,69.18,DD19,ksa
2078050,1341,9/3/2025,pending,4.7915,68.45,DD4,ksa
2078051,1341,9/3/2025,pending,4.7915,68.45,DD5,ksa
2078052,1341,9/3/2025,pending,4.7915,68.45,DD5,ksa
2078053,1341,9/3/2025,pending,2.8049,40.07,DD5,ksa
2078054,1341,9/3/2025,pending,3.2053,45.79,DD5,ksa
2078055,1341,9/3/2025,pending,5.5559,79.37,DD5,uae
2078056,1341,9/3/2025,pending,4.8426,69.18,DD7,ksa
2078057,1341,9/3/2025,pending,5.7911,82.73,DD7,qtr
2078058,1341,9/3/2025,pending,4.0095,80.19,DI16,uae
2078059,1341,9/3/2025,pending,3.459,69.18,DI26,ksa
2078060,1341,9/3/2025,pending,3.93,78.6,DI42,omn
2078061,1341,9/3/2025,pending,3.459,69.18,DI44,ksa
2078062,1341,9/3/2025,pending,4.0095,80.19,DI44,uae
2078063,1341,9/3/2025,pending,4.0095,80.19,DI44,uae
2078064,1341,9/3/2025,pending,4.0095,80.19,DI44,uae
2078065,1341,9/3/2025,pending,4.403,88.06,DI44,qtr
2078066,1341,9/3/2025,pending,2.803,56.06,DI44,qtr
2078067,1341,9/4/2025,pending,5.7911,82.73,DD10,qtr
2078068,1341,9/4/2025,pending,4.8426,69.18,DD20,ksa
2078069,1341,9/4/2025,pending,4.8426,69.18,DD20,ksa
2078070,1341,9/4/2025,pending,2.4122,34.46,DD7,ksa
2078071,1341,9/4/2025,pending,10.0527,143.61,DD7,uae
2078072,1341,9/4/2025,pending,6.1642,88.06,DD7,qtr
2078073,1341,9/4/2025,pending,3.459,69.18,DI26,ksa
2078074,1341,9/4/2025,pending,6.621,132.42,DI33,ksa
2078075,1341,9/4/2025,pending,8.08,161.6,DI44,uae
