Date,coupon,country,Usage
11-Oct-2025,k123,KSA,1
11-Oct-2025,k135,KSA,5
11-Oct-2025,k137,KSA,8
11-Oct-2025,k139,KSA,1
11-Oct-2025,k144,KSA,9
11-Oct-2025,k159,KSA,1
11-Oct-2025,k166,KSA,4
11-Oct-2025,k172,KSA,3
11-Oct-2025,k182,KSA,3
11-Oct-2025,k197,KSA,6
11-Oct-2025,k200,KSA,1
11-Oct-2025,ka1,KSA,10
11-Oct-2025,ka106,KSA,1
11-Oct-2025,ka12,KSA,45
11-Oct-2025,ka14,KSA,1
11-Oct-2025,ka15,KSA,7
11-Oct-2025,ka21,KSA,6
11-Oct-2025,ka37,KSA,2
11-Oct-2025,ka4,KSA,1
11-Oct-2025,ka46,KSA,1
11-Oct-2025,ka50,KSA,3
11-Oct-2025,ka57,KSA,1
11-Oct-2025,ka59,KSA,3
11-Oct-2025,ka60,KSA,1
11-Oct-2025,ka61,KSA,2
11-Oct-2025,ka63,KSA,3
11-Oct-2025,ka64,KSA,2
11-Oct-2025,ka66,KSA,3
11-Oct-2025,ka99,KSA,1
11-Oct-2025,ss25,KSA,3
11-Oct-2025,ss33,KSA,2
