Order Date,Order ID,Coupon Code,Customer Type,Order Country,Channels,Gender,Brand,Category,Gross Revenue
"Aug 13, 2025, 10:42:51 PM",ORKSA80034007620040,KYF,NEW,Saudi Arabia,Web,WOMEN,SCAROSSO,FLAT SHOES,1034.45
"Aug 13, 2025, 10:42:51 PM",ORKSA80034007620040,KYF,NEW,Saudi Arabia,Web,GIRL,ASICS,SNEAKERS,229.87
"Aug 13, 2025, 8:18:12 PM",ORKSA80034007619338,KYF,NEW,Saudi Arabia,Web,WOMEN,SAM EDELMAN,FLAT SHOES,513.39
"Aug 13, 2025, 7:45:25 PM",APPORKSA80034007545771,DH135,Returning,Saudi Arabia,App,UNISEX,PUMA,SNEAKERS,145.59
"Aug 13, 2025, 6:50:34 PM",APPENKSA80033007587149,DH135,Returning,Saudi Arabia,App,WOMEN,GOLDEN GOOSE,SNEAKERS,2137.86
"Aug 13, 2025, 6:40:13 PM",APPORKSA80034007586823,DH135,Returning,Saudi Arabia,App,MEN,BIRKENSTOCK,SANDALS,245.2
"Aug 13, 2025, 5:34:09 PM",ORKSA80033000103586,KYF,NEW,Saudi Arabia,Web,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NEW BALANCE,SNEAKERS,559.36
"Aug 13, 2025, 4:35:46 PM",ORKSA80034007618046,KYF,NEW,Saudi Arabia,Web,WOMEN,MICHAEL KORS,PUMPS,1134.06
"Aug 13, 2025, 3:48:24 PM",APPORKSA80034007606309,DH40,Returning,Saudi Arabia,App,GIRL,NEW BALANCE,SNEAKERS,697.29
"Aug 13, 2025, 3:48:24 PM",APPORKSA80034007606309,DH40,Returning,Saudi Arabia,App,GIRL,ASICS,SNEAKERS,337.16
"Aug 13, 2025, 3:44:36 PM",APPENUAE80031007617696,DH40,Returning,United Arab Emirates,App,WOMEN,THE LLINE,SANDALS,900
"Aug 13, 2025, 3:44:36 PM",APPENUAE80031007617696,DH40,Returning,United Arab Emirates,App,WOMEN,THE LLINE,PUMPS,1028.57
"Aug 13, 2025, 3:02:54 AM",APPORKSA80034007543501,KYF,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ASICS,SNEAKERS,536.38
"Aug 13, 2025, 3:02:54 AM",APPORKSA80034007543501,KYF,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",ADIDAS,SNEAKERS,459.76
"Aug 13, 2025, 2:36:16 AM",APPENKSA80033007615462,KYF,NEW,Saudi Arabia,App,WOMEN,ASICS,SNEAKERS,712.62
"Aug 13, 2025, 2:08:08 AM",ANDORKSA80034007615356,KYF,NEW,Saudi Arabia,App,WOMEN,GOLDEN GOOSE,SNEAKERS,2022.92
"Aug 13, 2025, 1:24:25 AM",APPENKSA80033007614967,DH135,NEW,Saudi Arabia,App,WOMEN,LE SILLA,PUMPS,2888.79
"Aug 13, 2025, 12:50:42 AM",APPENUAE80031007529471,DH33,Returning,United Arab Emirates,App,WOMEN,BIRKENSTOCK,SANDALS,257.14
"Aug 12, 2025, 11:26:43 PM",APPORKSA80034007567732,KYF,NEW,Saudi Arabia,App,"ADULT-UNISEX"", ""MEN"", ""WOMEN",NEW BALANCE,SNEAKERS,559.36
"Aug 12, 2025, 9:20:16 PM",APPENKSA80033007445925,KYF,Returning,Saudi Arabia,App,WOMEN,GOLDEN GOOSE,SNEAKERS,1747.07
