Order Id,Order Status,Item ID,Item ID,Order Date,Geo,Customer Type,Coupon Code,Quanity,Unit Price,Sale Amount,category_id,category_name,commission_rate,Payout,Currency
3312486,Delivered,10651424,HP Elitebook G7 830 Intel core i7 10th Gen 1.80Ghz,2024-09-19T15:50:22,KSA,NEW,H35,1,1499,1499,16012,Laptops,3.0,44.97,SAR
3311876,Returned,10650989,"HP ProBook 640 G5 Core i5, 8GB RAM 256GB SSD Win10",2024-09-19T02:42:53,KSA,NEW,H49,1,699,699,16012,Laptops,3.0,20.97,SAR
3311838,Delivered,10608154,جي تايد/اكستريم سماعات اذن ستيريو لاسلكية - أسود,2024-09-19T00:39:05,KSA,OLD,H81,1,75,75,12007,Headphones & wireless audio,2.5,1.88,SAR
3311837,Delivered,10624428,لينوفو لاب توب ثينك باد T440 ، معالج انتل كور i5 م,2024-09-19T00:39:05,KSA,OLD,H81,1,499,499,16012,Laptops,3.0,14.97,SAR
3311581,RTO-RTN,10622586,سامسونج جالكسي S10 بلس بشريحة واحدة - 128 جيجا ، ر,2024-09-18T18:41:22,KSA,OLD,H50,1,883,883,17004,Mobiles,2.0,17.66,SAR
3311250,Delivered,10636310,أبل آيفون 13 برو 256 جيجابايت - فضي,2024-09-18T13:04:57,KSA,NEW,H100,1,2360,2360,17004,Mobiles,2.0,47.2,SAR
3311125,Delivered,10622185,Oteeto Tablet 12 Pro 10.1 Inch 512GB 8GB RAM  - Si,2024-09-18T10:42:34,UAE,OLD,H62,1,245,245,17005,Tablets,2.0,4.9,AED
3310984,Returned,10653042,Honor 90 Lite Dual-SIM 256GB ROM + 8GB RAM 5G - Cy,2024-09-18T07:21:11,KSA,OLD,H95,1,577,577,17004,Mobiles,2.0,11.54,SAR
3310968,RTO-RTN,10623814,ديل لاتيتيود 11 - 5179 إنتل إم 5 الجيل السادس - 8 ,2024-09-18T07:03:50,KSA,NEW,H50,1,499,499,16012,Laptops,3.0,14.97,SAR
3310968,RTO-RTN,10652577,ديل لاتيتيود 11- 5179 شاشة تعمل باللمس مقاس 10.8 ب,2024-09-18T07:03:50,KSA,NEW,H50,1,475,475,16012,Laptops,3.0,14.25,SAR
3310694,Returned,10642444,"Emporio Armani Womens Quartz Watch, 32mm, Analog D",2024-09-17T18:58:10,UAE,OLD,H76,1,349,349,55008,Women Wrist Watch,3.0,10.47,AED
3310011,Delivered,10645055,"Cosori Air Fryer Oven With Rapid Air Circulation, ",2024-09-17T05:22:14,UAE,OLD,H1,1,250,250,45004,Electric Cookware & Oven,3.0,7.5,AED
3309772,Delivered,10653049,هواوي نوفا 5T ثنائي الشريحة 128 جيجابايت - أسود,2024-09-16T19:45:59,KSA,OLD,H50,1,549,549,17004,Mobiles,2.0,10.98,SAR
