Date,coupon,country,Usage
16-Sep-2025,K130,KSA,1
16-Sep-2025,K131,KSA,1
16-Sep-2025,K135,KSA,4
16-Sep-2025,K137,KSA,5
16-Sep-2025,K144,KSA,1
16-Sep-2025,K166,KSA,8
16-Sep-2025,K180,KSA,1
16-Sep-2025,K182,KSA,1
16-Sep-2025,K195,KSA,1
16-Sep-2025,K196,KSA,3
16-Sep-2025,K197,KSA,10
16-Sep-2025,KA1,KSA,2
16-Sep-2025,KA11,KSA,2
16-Sep-2025,Ka119,KSA,3
16-Sep-2025,Ka12,KSA,37
16-Sep-2025,KA14,KSA,1
16-Sep-2025,Ka15,KSA,6
16-Sep-2025,Ka18,KSA,1
16-Sep-2025,KA2,KSA,18
16-Sep-2025,Ka23,KSA,1
16-Sep-2025,KA26,KSA,1
16-Sep-2025,KA37,KSA,2
16-Sep-2025,Ka4,KSA,2
16-Sep-2025,KA50,KSA,4
16-Sep-2025,KA59,KSA,4
16-Sep-2025,KA60,KSA,4
16-Sep-2025,KA64,KSA,2
16-Sep-2025,KA66,KSA,8
16-Sep-2025,KA95,KSA,1
16-Sep-2025,ss25,KSA,1
16-Sep-2025,SS33,KSA,1
