Action Date,Action Id,Brand,Event Type,Status,Sale Amount,Action Earnings,Promo Code,SharedId
2025-07-11 22:37:09,M.15608.6401.433310,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,113.30,11.3300,SAHS15,
2025-07-11 22:19:29,M.15608.6401.417225,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,26.83,2.6800,D26,
2025-07-11 21:30:37,M.15608.6401.370800,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,66.30,6.6300,SAHS,
2025-07-11 20:53:14,M.15608.6401.334951,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,D26,
2025-07-11 20:27:02,M.15608.6401.311143,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-11 20:11:05,M.15608.6401.295740,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,D26,
2025-07-11 18:14:42,M.15608.6401.181457,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-11 17:51:21,M.15608.6401.166228,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,38.58,3.8600,D27,
2025-07-11 17:25:26,M.15608.6401.146225,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,154.69,15.4700,SAHS,
2025-07-11 16:25:47,M.15608.6401.104880,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-11 16:16:48,M.15608.6401.99972,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-11 15:01:13,M.15608.6401.69745,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,26.83,2.6800,SAHS15,
2025-07-11 14:15:53,M.15608.6401.43269,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,29.99,3.0000,D26,
2025-07-11 12:23:40,M.15608.6401.9182,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,124.70,12.4700,SAHS,
2025-07-11 12:21:02,M.15608.6401.9087,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,124.70,12.4700,SAHS,
2025-07-11 11:14:51,M.15608.6400.1378857,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,31.57,3.1600,SAHS,
2025-07-11 06:04:49,M.15608.6400.1064727,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,71.03,7.1000,SAHS,
2025-07-11 04:19:17,M.15608.6400.983652,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,44.72,4.4700,SAHS15,
2025-07-11 03:31:17,M.15608.6400.946155,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,71.03,7.1000,SAHS,
2025-07-11 03:12:06,M.15608.6400.929389,Airalo - The World's First eSIM Store,Sale (Android App),Pending,72.88,7.2900,SAHS,
2025-07-10 23:08:54,M.15608.6400.574971,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,217.83,21.7800,D26,
2025-07-10 20:50:07,M.15608.6400.355466,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,75.77,7.5800,SAHS,
2025-07-10 20:48:38,M.15608.6400.353727,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,98.39,9.8400,SAHS15,
2025-07-10 20:00:53,M.15608.6400.309073,Airalo - The World's First eSIM Store,Sale (Android App),Pending,66.48,6.6500,D26,
2025-07-10 19:27:14,M.15608.6400.275723,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,95.41,9.5400,SAHS15,
2025-07-10 16:00:49,M.15608.6400.93296,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.49,11.0500,D38,
2025-07-10 15:47:13,M.15608.6400.87154,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.49,11.0500,D38,
2025-07-10 15:43:35,M.15608.6400.89258,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,95.41,9.5400,SAHS15,
2025-07-10 15:35:25,M.15608.6400.87347,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,110.49,11.0500,D38,
2025-07-10 15:25:19,M.15608.6400.76700,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.88,3.7900,SAHS,
2025-07-10 14:38:13,M.15608.6400.54409,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-10 14:30:15,M.15608.6400.50233,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,14.91,1.4900,SAHS15,
2025-07-10 14:07:00,M.15608.6400.42571,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.88,3.7900,SAHS,
2025-07-10 14:05:11,M.15608.6400.41618,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,45.78,4.5800,SAHS,
2025-07-10 13:33:48,M.15608.6400.31555,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,125.23,12.5200,SAHS15,
2025-07-10 12:17:39,M.15608.6400.8640,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,15.78,1.5800,SAHS,
2025-07-10 11:54:28,M.15608.6399.1436474,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,55.14,5.5100,SAHS15,
2025-07-10 10:23:35,M.15608.6399.1368338,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,104.35,10.4400,SAHS15,
2025-07-10 09:36:51,M.15608.6399.1339588,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,52.09,5.2100,SAHS,
2025-07-10 07:17:58,M.15608.6399.1124512,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,59.63,5.9600,SAHS15,
2025-07-10 00:34:14,M.15608.6399.639617,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,95.41,9.5400,SAHS15,
2025-07-10 00:33:10,M.15608.6399.638492,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,125.23,12.5200,SAHS15,
2025-07-09 23:50:52,M.15608.6399.598532,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,95.41,9.5400,SAHS15,
2025-07-09 22:07:04,M.15608.6399.393965,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,72.61,7.2600,SAHS,
2025-07-09 21:38:30,M.15608.6399.372448,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,41.04,4.1000,SAHS,
2025-07-09 20:46:12,M.15608.6399.330342,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,154.69,15.4700,D26,
2025-07-09 19:54:17,M.15608.6399.278506,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.88,3.7900,SAHS,
2025-07-09 19:39:18,M.15608.6399.266072,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,82.08,8.2100,D26,
2025-07-09 18:17:23,M.15608.6399.184850,Airalo - The World's First eSIM Store,Sale (iOS App),Pending,37.88,3.7900,D26,
