Date,coupon,country,Usage
19-Aug-2025,K121,KSA,1
19-Aug-2025,k123,KSA,1
19-Aug-2025,K131,KSA,1
19-Aug-2025,K135,KSA,13
19-Aug-2025,K137,KSA,6
19-Aug-2025,K166,KSA,2
19-Aug-2025,K175,KSA,1
19-Aug-2025,K180,KSA,6
19-Aug-2025,K189,KSA,2
19-Aug-2025,k195,KSA,3
19-Aug-2025,K196,KSA,9
19-Aug-2025,K197,KSA,4
19-Aug-2025,K198,KSA,4
19-Aug-2025,K199,KSA,1
19-Aug-2025,KA1,KSA,6
19-Aug-2025,Ka106,KSA,1
19-Aug-2025,Ka12,KSA,48
19-Aug-2025,KA15,KSA,3
19-Aug-2025,KA2,KSA,3
19-Aug-2025,KA21,KSA,2
19-Aug-2025,Ka23,KSA,1
19-Aug-2025,Ka37,KSA,2
19-Aug-2025,KA4,KSA,1
19-Aug-2025,Ka50,KSA,2
19-Aug-2025,KA55,KSA,1
19-Aug-2025,KA59,KSA,2
19-Aug-2025,KA61,KSA,1
19-Aug-2025,KA99,KSA,1
19-Aug-2025,SS25,KSA,1
