Report Name,Individual Item Report
Date Run,8/24/25
Filters,Transaction Date >= 8/1/25,Transaction Date <= 8/24/25,Network ID IN 9,Time Zone = GMT

Order ID,Transaction Date,Transaction Time,MID,Advertiser Name,SKU,Product Name,Sales,# of Items,Total Commission,Order Coupon Code(s)
"ASA03976490",8/6/25,"15:06:26",52993,"Adidas KSA","GZ5166_540","ULTRABOOST LIGHT SHOES",40.36,1,2.825,"RAN222"
"ASA03976429",8/6/25,"14:55:53",52993,"Adidas KSA","JI8767_220","FUTURE ICONS SMALL LOGO PANTS",45.58,1,3.191,"RAN221"
"ASA03974743",8/6/25,"06:30:16",52993,"Adidas KSA","ID4548_590","STAN SMITH SHOES",42.03,1,2.942,"RAN221"
"ASA03976429",8/6/25,"14:55:53",52993,"Adidas KSA","JL6524_210","ALL SZN FRENCH TERRY WASHED LOOSE PANTS",109.94,2,7.696,"RAN221"
"ASA03976429",8/6/25,"14:55:53",52993,"Adidas KSA","JD4949_220","FUTURE ICONS SMALL LOGO PANTS",43.94,1,3.076,"RAN221"
"ASA03976439",8/6/25,"15:02:19",52993,"Adidas KSA","JS3871_550","TEKWEN SHOES",33.29,1,2.33,"RAN165"
"ASA03979140",8/7/25,"02:40:12",52993,"Adidas KSA","ID4548_590","STAN SMITH SHOES",42.06,1,2.944,"RAN221"
"ASA03987279",8/8/25,"20:42:14",52993,"Adidas KSA","IB8244_205","TRAIN ESSENTIALS PIQUÉ 3-STRIPES TRAINING SHORTS",26.13,1,1.829,"RAN221"
"ASA03987799",8/8/25,"22:28:16",52993,"Adidas KSA","JR2723_490","TENSAUR COMFORT SHOES KIDS",26.74,1,1.872,"RAN221"
"ASA03987584",8/8/25,"22:03:05",52993,"Adidas KSA","IG4540_610","SUPERSTAR SHOES",60.03,1,4.202,"RAN221"
"ASA03987584",8/8/25,"22:03:05",52993,"Adidas KSA","IE5984_430","TENSAUR RUN 2.0 SHOES KIDS",21.5,1,1.505,"RAN221"
"ASA03987584",8/8/25,"22:03:05",52993,"Adidas KSA","IE5984_490","TENSAUR RUN 2.0 SHOES KIDS",21.5,1,1.505,"RAN221"
"ASA03987799",8/8/25,"22:28:16",52993,"Adidas KSA","FZ6505_270","ALTASWIM SANDALS",18.03,1,1.262,"RAN221"
"ASA03987279",8/8/25,"20:42:14",52993,"Adidas KSA","IB8150_210","TRAIN ESSENTIALS 3-STRIPES TRAINING TEE",21.98,1,1.539,"RAN221"
"ASA03987799",8/8/25,"22:28:16",52993,"Adidas KSA","JR7661_580","TENSAUR COMFORT SHOES KIDS",29.08,1,2.036,"RAN221"
"ASA03987799",8/8/25,"22:28:16",52993,"Adidas KSA","ID0718_580","X CRAZYFAST MESSI LEAGUE TURF BOOTS",58.98,1,4.129,"RAN221"
"ASA03985882",8/8/25,"14:55:36",52993,"Adidas KSA","FZ6381_650","NMD_S1 SHOES",62.97,1,4.408,"RAN221"
"ASA03987279",8/8/25,"20:42:14",52993,"Adidas KSA","IB8121_310","TRAIN ESSENTIALS LOGO TRAINING SHORTS",25.19,1,1.763,"RAN221"
"ASA03987799",8/8/25,"22:28:16",52993,"Adidas KSA","JI0034_490","F50 CLUB HOOK-AND-LOOP TURF BOOTS KIDS",30.28,1,2.12,"RAN221"
"ASA03989958",8/9/25,"12:30:16",52993,"Adidas KSA","JQ7940_470","OWNTHEGAME 3.0 SHOES",27.96,1,1.957,"RAN221"
"ASA03989958",8/9/25,"12:30:16",52993,"Adidas KSA","JQ6140_540","ANTHONY EDWARDS 1 LOW TRAINERS",56.35,1,3.945,"RAN221"
"ASA03989958",8/9/25,"12:30:16",52993,"Adidas KSA","JQ8073_380","ADIDAS MARVEL SPIDER-MAN GRAND COURT SHOES KIDS",27.96,1,1.957,"RAN221"
"ASA03988227",8/9/25,"00:04:09",52993,"Adidas KSA","ID8815_660","ULTRABOOST 5 SHOES",112.15,1,7.851,"RAN221"
"ASA03990646",8/9/25,"15:38:29",52993,"Adidas KSA","GZ0784_600","CONTINENTAL 80 VEGAN SHOES",32.44,1,2.271,"RAN221"
"ASA03996789",8/10/25,"23:54:03",52993,"Adidas KSA","EE6464_650","OZWEEGO SHOES",65.76,1,4.603,"RAN221"
