created_date,country,order_id,aff_coupon,AED_gross_amount,AED_net_amount
"Sep 4, 2025",AE,MAE10253030,DMP7,258.9,258.9
"Sep 3, 2025",AE,MAE10252892,HH15,296.65,296.65
"Sep 2, 2025",SA,MSA60361340,HH15,298.998,298.998
"Sep 2, 2025",SA,MSA60361372,DZ45,166.698,166.698
"Sep 2, 2025",KW,MKW30245636,DMP20,180.54,180.54
"Sep 2, 2025",KW,MKW30245643,HH108,411.23,411.23
"Sep 2, 2025",SA,MSA60361477,DMP6,121.716,121.716
"Sep 1, 2025",SA,MSA60361173,DMP7,2027.718,2027.718
"Aug 31, 2025",SA,MSA60361138,DZ48,415.667,415.667
"Aug 30, 2025",SA,MSA60360943,DZ10,400.134,400.134
"Aug 30, 2025",SA,MSA60360967,DZ48,334.278,334.278
"Aug 30, 2025",SA,MSA60361054,DZ48,2513.945,2513.945
"Aug 30, 2025",SA,MSA60361030,DZ48,210.798,210.798
"Aug 30, 2025",SA,MSA60360928,DZ48,674.7299999999999,674.7299999999999
"Aug 29, 2025",SA,MSA60360771,DZ48,359.856,359.856
"Aug 29, 2025",SA,MSA60360766,DZ48,648.074,648.074
"Aug 29, 2025",SA,MSA60360865,DMP6,540.617,540.617
"Aug 29, 2025",SA,MSA60360912,DMP6,421.596,421.596
"Aug 29, 2025",SA,MSA60360846,DZ48,137.445,137.445
"Aug 28, 2025",SA,MSA60360723,DZ48,1977.3949999999998,1977.3949999999998
"Aug 28, 2025",KW,MKW30245413,HH30,130.39,130.39
"Aug 28, 2025",SA,MSA60360780,HH15,298.998,298.998
"Aug 27, 2025",KW,MKW30245256,DMP7,371.11,371.11
"Aug 27, 2025",SA,MSA60360416,HH15,274.057,274.057
"Aug 27, 2025",SA,MSA60360648,HH15,174.636,174.636
"Aug 26, 2025",SA,MSA60360366,HH15,470.302,470.302
"Aug 26, 2025",SA,MSA60360360,HH30,1295.658,1295.658
"Aug 26, 2025",SA,MSA60360493,DZ48,1736.658,1736.658
"Aug 25, 2025",SA,MSA60360321,DZ48,1736.658,1736.658
"Aug 25, 2025",SA,MSA60360216,DMP7,1190.357,1190.357
"Aug 25, 2025",KW,MKW30245093,DMP6,791.19,791.19
"Aug 25, 2025",SA,MSA60360307,HH15,298.998,298.998
"Aug 25, 2025",SA,MSA60360324,DZ48,666.792,666.792
