Report Name,Individual Item Report
Date Run,9/27/25
Filters,Transaction Date >= 9/1/25,Transaction Date <= 9/27/25,Network ID IN 9,Time Zone = GMT

Order ID,Transaction Date,Transaction Time,MID,Advertiser Name,SKU,Product Name,Sales,# of Items,Total Commission,Order Coupon Code(s)
"ASA04125798",9/19/25,"19:03:16",52993,"Adidas KSA","IT2757_560","SAUDI ARABIA 24 HOME JERSEY KIDS",30.83,1,2.158,"RAN221"
"ASA04126992",9/20/25,"00:40:25",52993,"Adidas KSA","IF4015_560","OZMILLEN SHOES",91.59,1,6.411,"RAN221"
"ASA04131005",9/20/25,"22:58:44",52993,"Adidas KSA","JE6698_195","TECHFIT COMPRESSION TRAINING TEE",22.07,1,1.545,"RAN221"
"ASA04131005",9/20/25,"22:58:44",52993,"Adidas KSA","IN5591_195","TECHFIT COMPRESSION TRAINING SHORT TIGHTS",18.56,1,1.299,"RAN221"
"ASA04132439",9/21/25,"11:23:47",52993,"Adidas KSA","JP7722_630","GAMECOURT 2.0 TENNIS SHOES",63.45,1,4.442,"RAN221"
"ASA04132150",9/21/25,"09:07:37",52993,"Adidas KSA","ID7056_540","GAZELLE BOLD SHOES",70.2,1,4.914,"RAN221"
"ASA04136374",9/22/25,"10:24:16",52993,"Adidas KSA","JX3053_205","TRACK TOP",49.62,1,3.473,"RAN222"
"ASA04137566",9/22/25,"16:30:48",52993,"Adidas KSA","FX3632_600","ULTIMASHOW SHOES",35.05,1,2.454,"RAN221"
"ASA04136374",9/22/25,"10:24:16",52993,"Adidas KSA","JX5221_120","OMBRE CREW SOCKS 3 PAIRS",10.13,1,0.709,"RAN222"
"ASA04137383",9/22/25,"15:41:14",52993,"Adidas KSA","IK5024_210","OWN THE RUN PANTS",30.05,1,2.104,"RAN221"
"ASA04140719",9/23/25,"11:20:06",52993,"Adidas KSA","IG5717_550","SUPERSTAR SLIP-ON SHOES",50.01,1,3.501,"RAN221"
"ASA04140719",9/23/25,"11:20:06",52993,"Adidas KSA","IH1321_560","R71 SHOES",39.85,1,2.79,"RAN221"
"ASA04140719",9/23/25,"11:20:06",52993,"Adidas KSA","ID9155_510","VL COURT 3.0 SKATEBOARDING SHOES KIDS",24.69,1,1.728,"RAN221"
"ASA04144806",9/24/25,"10:43:15",52993,"Adidas KSA","JH9073_680","ULTRABOOST 5 SHOES",95.07,1,6.655,"RAN222"
"ASA04146154",9/24/25,"18:09:18",52993,"Adidas KSA","IF9203_580","PUREBOOST 5 RUNNING SHOES",75.85,1,5.31,"RAN221"
"ASA04151545",9/26/25,"14:13:52",52993,"Adidas KSA","KC2339_230","ADIDAS NATIONAL GEOGRAPHIC AEROREADY PANTS",53.58,1,3.751,"RAN221"
"ASA04151545",9/26/25,"14:13:52",52993,"Adidas KSA","JM6051_230","FUTURE ICONS 3-STRIPES OPEN-HEM PANTS",33.26,1,2.328,"RAN221"
