Order Date,customer_flag,Order Id,Coupon,country,Order Value (AED),Payout (AED)
"Sep 10, 2025",Existing Orders,3011273167,R199,KSA,152.4684,15.24684
"Sep 10, 2025",Existing Orders,3011273401,R199,KSA,109.809,10.9809
"Sep 10, 2025",Existing Orders,3011272843,R199,KSA,120.932,12.093200000000001
"Sep 11, 2025",Existing Orders,3011276343,Z50,KSA,128.919,12.891900000000001
"Sep 27, 2025",Existing Orders,3011336927,R199,KSA,178.4776,17.84776
"Sep 27, 2025",Existing Orders,000927041,RY,KSA,104.8796,10.487960000000001
"Oct 5, 2025",Existing Orders,3011377517,R199,KSA,57.3398,5.73398
"Sep 13, 2025",New Orders,3011283793,Z45,KSA,68.8548,6.88548
"Oct 3, 2025",New Orders,3011366977,BCARE,KSA,62.965,null
"Oct 3, 2025",Existing Orders,3011367369,R13,KSA,116.7964,11.679640000000001
"Sep 8, 2025",Existing Orders,3011260341,R135,KSA,56.301,5.6301000000000005
"Sep 21, 2025",Existing Orders,3011315793,R199,KSA,149.548,14.9548
"Sep 21, 2025",Existing Orders,3011318001,R199,KSA,203.8106,20.38106
"Sep 21, 2025",New Orders,3011316513,R199,KSA,28.1456,2.81456
"Sep 23, 2025",Existing Orders,3011322965,R199,KSA,85.4266,8.54266
"Sep 23, 2025",Existing Orders,3011326163,R199,KSA,133.7798,13.37798
"Sep 25, 2025",Existing Orders,000926265,R199,KSA,70.5012,7.05012
"Sep 25, 2025",Existing Orders,3011332797,R199,KSA,146.2062,14.62062
"Sep 25, 2025",New Orders,3011330771,RY,KSA,153.4386,15.343860000000001
"Sep 7, 2025",Existing Orders,3011256477,R199,KSA,150.9592,15.095920000000001
"Sep 7, 2025",Existing Orders,3011257181,Z47,KSA,66.3362,6.6336200000000005
"Sep 7, 2025",Existing Orders,3011255755,R199,KSA,77.371,7.7371
"Sep 23, 2025",Existing Orders,3011325919,R199,KSA,169.687,16.968700000000002
"Sep 9, 2025",New Orders,3011266479,R188,KSA,65.072,6.507200000000001
"Sep 28, 2025",Existing Orders,12000027153,Z50,KWT,386.7766,38.67766
"Oct 6, 2025",Existing Orders,3011378879,RY,KSA,377.8194,37.78194
"Oct 6, 2025",Existing Orders,21000013027,R19,BAH,237.062,23.706200000000003
"Oct 6, 2025",Existing Orders,3011379337,R186,KSA,122.0688,12.20688
"Sep 19, 2025",Existing Orders,3011308281,R199,KSA,59.1626,5.91626
"Oct 4, 2025",New Orders,000930689,RY,KSA,546.644,54.6644
"Sep 10, 2025",Existing Orders,000919773,R199,KSA,234.5336,23.453360000000004
"Sep 26, 2025",Existing Orders,000926761,R199,KSA,690.2532,69.02532000000001
"Sep 18, 2025",New Orders,3011304255,Z47,KSA,143.1094,14.31094
"Sep 18, 2025",New Orders,3011305485,R199,KSA,350.1834,35.01834
"Sep 16, 2025",Existing Orders,3011297343,R199,KSA,148.1368,14.81368
