Order Id,Order Status,Item ID,Item ID,Order Date,Geo,Customer Type,Coupon Code,Quanity,Unit Price,Sale Amount,category_id,category_name,commission_rate,Payout,Currency
3580970,Pending,10809001,موقد تخييم محمول صغير – موقد غازي قابل للطي وعالي ,2025-08-31T04:07:18,UAE,OLD,H4,1,15,15,45002,Cookware,3.0,0.45,AED
3580969,Pending,10605813,مكسور بلونجانت براون MQ5235 1000 واط بلانك,2025-08-31T04:07:18,UAE,OLD,H4,1,179,179,45018,Small appliances,3.0,5.37,AED
3580839,Processing,10668238,ديل لاتيتيود 7420 | معالج إنتل كور i7 من الجيل الح,2025-08-30T21:17:11,KSA,NEW,H80,1,1399,1399,16012,Laptops,3.0,41.97,SAR
3580766,Pending,10585002,"Bose Bass Module 700 - Black - Wireless, Compact S",2025-08-30T19:10:39,UAE,OLD,ZZ57,1,1999,1999,12003,Audio Speakers & Portable Media Players,2.5,49.98,AED
3580761,Pending,10690965,English Blazer London EDT 100ml + FREE Body Spray ,2025-08-30T18:58:04,UAE,OLD,H4,2,21,42,27002,Men Fragrance,2.5,1.05,AED
3580761,Pending,10691692,"English Blazer Original Gift Set, EDT 100ml, Body ",2025-08-30T18:58:04,UAE,OLD,H4,2,21,42,27002,Men Fragrance,2.5,1.05,AED
3580760,Pending,10763631,"UGREEN HiTune Max5C Headphones Wireless, 75H Playt",2025-08-30T18:58:04,UAE,OLD,H4,1,88,88,12007,Headphones & wireless audio,2.5,2.2,AED
3580759,Pending,10732137,"DOQAUS Bluetooth Headphones Over Ear, Bluetooth 5.",2025-08-30T18:58:04,UAE,OLD,H4,1,69,69,12007,Headphones & wireless audio,2.5,1.72,AED
3580680,Pending,10535502,Apple iPhone 15 Pro Max 512GB 8GB RAM Physical SIM,2025-08-30T16:28:37,UAE,OLD,ZZ57,1,2999,2999,17004,Mobiles,2.0,59.98,AED
3580651,Pending,10788454,ايباد ابل برو 11 بوصة الجيل الرابع واي فاي 128 جيج,2025-08-30T15:44:07,UAE,OLD,H80,1,1999,1999,17005,Tablets,2.0,39.98,AED
3580431,Shipped,10804285,GAMEON Emperor Midnight I Series Mid Tower PC Gami,2025-08-30T11:07:59,UAE,NEW,H4,1,179,179,16003,Computer Accessories,3.0,5.37,AED
3580427,Processing,10687221,Lenovo Thinkpad T480 Laptop 14 Inch Core i5 8th Ge,2025-08-30T11:05:31,UAE,OLD,H4,1,619,619,16012,Laptops,3.0,18.57,AED
3580383,Pending,10644442,Champion Champion Perfume for Men Tester 100ml,2025-08-30T10:12:18,KSA,OLD,H14,1,52,52,27002,Men Fragrance,2.5,1.3,SAR
3580383,Pending,10565146,Hugo Boss Man 125ml Tester,2025-08-30T10:12:18,KSA,OLD,H14,1,109,109,27002,Men Fragrance,2.5,2.72,SAR
3580128,Processing,10690938,Dell Latitude 7400 Laptop - Intel Core i7-8665U - ,2025-08-29T23:26:10,UAE,OLD,ZZ48,1,639,639,16012,Laptops,3.0,19.17,AED
3580028,Shipped,10792977,تيلو جيمز - جوال لينوفو ليجن ثنائي شرائح الاتصال 2,2025-08-29T20:05:58,KSA,OLD,ZZ49,1,599,599,17004,Mobiles,2.0,11.98,SAR
3579897,Packed,10772976,Lenovo ThinkPad Yoga 370 2in1 Touch with Pen Intel,2025-08-29T15:56:01,UAE,NEW,ZZ57,1,699,699,16012,Laptops,3.0,20.97,AED
3579540,Packed,10753539,Laptop HP ProBook 650 G3 Intel Core i7 Processor/7,2025-08-29T09:09:45,UAE,NEW,H4,1,690,690,16012,Laptops,3.0,20.7,AED
3579539,Processing,10808248,"Dell Latitude 7389 (2 in 1) Laptop, i7-7600U, 7TH ",2025-08-29T09:09:45,UAE,NEW,H4,2,729,1458,16012,Laptops,3.0,43.74,AED
3579516,Delivered,10802921,Apple iMac 2020 27 Inches Core i5 3.3GHZ Intel pro,2025-08-29T08:31:36,UAE,OLD,H4,1,1999,1999,16006,Desktop Computer,3.0,59.97,AED
3579462,Delivered,10700553,Police Men's Watch  PEWJG2204505,2025-08-29T06:58:14,UAE,OLD,H35,1,279,279,55006,Men Wrist Watch,3.0,8.37,AED
3579243,Processing,10606275,Emporio Armani AR11463 Chronograph Black Silicone ,2025-08-28T20:19:56,UAE,NEW,H4,1,429,429,55006,Men Wrist Watch,3.0,12.87,AED
3579212,Shipped,10221495,Apple iPhone 13 Pro Max 128GB - Silver,2025-08-28T19:21:05,KSA,OLD,ZZ49,1,1799,1799,17004,Mobiles,2.0,35.98,SAR
3579141,Shipped,10805861,أبل آيباد برو الجيل الثالث (2021) 11 بوصة واي فاي ,2025-08-28T17:45:40,KSA,OLD,H80,1,2099,2099,17005,Tablets,2.0,41.98,SAR
3579109,Shipped,10757988,U.S. Polo Assn. Embroidered Logo Short Sleeves Pat,2025-08-28T17:12:42,UAE,OLD,ZZ57,1,40,40,51032,Men's Tops,4.5,1.8,AED
3579109,Shipped,10789411,adidas Unisex-Adult TC610 SOCKS,2025-08-28T17:12:42,UAE,OLD,ZZ57,1,22,22,51042,Women's Socks & Hosiery,4.5,0.99,AED
3579109,Shipped,10757095,Oakley Mens Relax Polo Short Sleeves T-Shirt - XL ,2025-08-28T17:12:42,UAE,OLD,ZZ57,1,50,50,51032,Men's Tops,4.5,2.25,AED
3579109,Shipped,10786200,U.S. Polo Assn. Printed Chest Embroidered Logo Sho,2025-08-28T17:12:42,UAE,OLD,ZZ57,1,50,50,51032,Men's Tops,4.5,2.25,AED
3579101,Delivered,10618869,أبل أيفون 13 برو 256 جيجابايت - ذهبي,2025-08-28T16:54:27,UAE,NEW,H50,1,1399,1399,17004,Mobiles,2.0,27.98,AED
3579097,Delivered,10804127,Smeg 1.7 Liter Kettle - KLF04PBUK,2025-08-28T16:47:21,UAE,OLD,ZZ57,1,599,599,45011,Hot Beverage Makers,3.0,17.97,AED
3579017,Shipped,10697071,Apple iPhone 15 Pro Max 256GB Dual Physical Sim - ,2025-08-28T14:34:48,UAE,NEW,H4,1,2778,2778,17004,Mobiles,2.0,55.56,AED
3578830,Processing,5534,Emporio Armani Sportivo Men's Black Dial Stainless,2025-08-28T10:23:12,UAE,OLD,ZZ57,1,341.1,341.1,55006,Men Wrist Watch,3.0,10.23,AED
3578613,Pending,10728245,Dell Latitude 12 7212 Rugged Extreme Tablet i5-830,2025-08-28T04:37:40,UAE,OLD,ZZ57,2,650,1300,17005,Tablets,2.0,26.0,AED
3578584,Shipped,177721,"ابل ايفون 12 ميني 256 جيجا , 5G -أبيض",2025-08-28T02:20:08,KSA,NEW,ZZ49,1,899.87,899.87,17004,Mobiles,2.0,18.0,SAR
3578436,Shipped,10750220,"Dell Latitude 5480 Business Laptop, 14 Inch FHD, I",2025-08-27T20:06:31,KSA,OLD,ZZ3,1,699,699,16012,Laptops,3.0,20.97,SAR
3578367,Delivered,10670436,Multi-Functional Mini Household sewing machine,2025-08-27T18:28:47,UAE,OLD,H18,1,50,50,43023,Sewing And Hand Crafts,4.5,2.25,AED
3578366,Delivered,10694742,Dispenser for 5 Gallon Bottle 600ml Quantitative W,2025-08-27T18:28:46,UAE,OLD,H18,1,28.85,28.85,45018,Small appliances,3.0,0.87,AED
3578365,Delivered,10582208,Geepas 520W Digital Food Dehydrator – Food Dryer W,2025-08-27T18:28:46,UAE,OLD,H18,1,99,99,45018,Small appliances,3.0,2.97,AED
3578356,Shipped,10790718,JVC Portable Bluetooth Party Speaker XS-N4213PB,2025-08-27T18:20:42,UAE,NEW,ZZ57,1,199,199,12003,Audio Speakers & Portable Media Players,2.5,4.97,AED
3578282,Delivered,10640183,Philips All-in-One Trimmer MG7920/15 | 13-in-1 Fac,2025-08-27T16:09:35,UAE,OLD,H4,1,149,149,25008,Shaving & Hair Removal Appliances,3.0,4.47,AED
3578271,Processing,10208926,ساعة رسمية من امبوريو ارماني Ar2448 للرجال,2025-08-27T15:58:25,UAE,NEW,H80,1,335,335,55006,Men Wrist Watch,3.0,10.05,AED
3578246,Shipped,10622602,سامسونج جالاكسي S21 بلس 128 جيجابايت 8 جيجابايت را,2025-08-27T15:17:00,KSA,NEW,H60,1,899,899,17004,Mobiles,2.0,17.98,SAR
3578046,Shipped,10650989,"HP ProBook 640 G5 Core i5, 8GB RAM 256GB SSD Win10",2025-08-27T10:38:42,KSA,NEW,ZZ49,1,779,779,16012,Laptops,3.0,23.37,SAR
3578009,Delivered,10783705,"XREAL Beam Pro, The AR Glasses Spatial Computing C",2025-08-27T09:20:50,UAE,OLD,H4,1,899,899,12015,TV Audio,2.5,22.48,AED
3578009,Delivered,10791861,"XREAL Hub, Power and Play Adapter, so you can char",2025-08-27T09:20:50,UAE,OLD,H4,1,139,139,17001,Mobiles Accessories,2.0,2.78,AED
